rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested,reviewed_result,reviewed_basis
11,55,ChatGPTNextWeb/NextChat,NextChat Enterprise,https://github.com/ChatGPTNextWeb/NextChat,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,"An enterprise AI chat offering with centrally managed models, member permissions, and organizational knowledge access.",企业版由管理员配置模型资源、成员及知识库权限，并集中审计团队对话。,"chat, governance, knowledge",这些团队能力明确来自另售 Enterprise Edition，不能归到 MIT 社区仓库或宣称免费自建可用。,README Enterprise Edition L60-72,88794,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
12,2069,archestra-ai/archestra,Archestra,https://github.com/archestra-ai/archestra,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,"An enterprise AI platform with chat, tool governance, and team cost tracking.",团队统一助手、个人身份工具授权、私有 MCP 目录、SSO/RBAC 与费用。,"ai-native, teams, governance",Open Core；README 免费范围为不足 30 人团队，企业许可另计。,README L32–73、118：用户入口、团队同步与成本。,4287,2026-09-22T06:52:18.473136+00:00,4290,False,2026-09-22T02:50:00Z,NOASSERTION,https://github.com/archestra-ai/archestra/blob/main/README.md,afbba4dce12a3b087a50c9a6c8b9e0d19a59b34dd90c83872325fc12c0697b50,https://github.com/archestra-ai/archestra/blob/main/LICENSE.md,be120afa345a686704939278babbd00bc9ab830bb7142435420629a8c2932aa1,False,Open Core / Enterprise,默认 AGPL，Enterprise 标记文件适用商业许可；SSO、RBAC 和费用功能需按文件核对。
13,4936,nduckmink/arkon,Arkon,https://github.com/nduckmink/arkon,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,An organizational knowledge hub that compiles documents into a reviewed wiki and serves permission-scoped context through MCP.,按部门与角色提供组织知识，编辑者审阅知识更新计划，支持草稿审批、版本回退和管理操作审计。,"knowledge, mcp, governance, self-hosted",采用 PolyForm Internal Use，不能按标题直接标为 OSI 开源；通知系统和员工 CLI 等仍未完成。,README L13-19、L29-43、L55-59、L185-208,1458,2026-09-22T06:52:18.694330+00:00,1460,False,2026-06-03T18:41:48Z,NOASSERTION,https://github.com/nduckmink/arkon/blob/main/README.md,93c20beca69ee01a30a5fe0a57b6d9c049479722a4b263849dba6a94fd6b8723,https://github.com/nduckmink/arkon/blob/main/LICENSE,7c341ebea6711687263dab6b93148fd53d5e0c454bf27d50538e7085793a9764,False,PolyForm Internal Use,团队知识、RBAC、审批和审计明确，但许可证限制第三方服务销售。
14,5004,feigeCode/navop,Navop,https://github.com/feigeCode/navop,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,"A native operations workspace with database tools, terminals, and permission-aware MCP access.",研发运维团队可让助手复用数据库/远程操作上下文与审计。,"mcp, database, devops",Apache 附补充许可限制收费/竞争用途；本机工作台非多人权限系统。,README 本机 MCP、Safe/Confirm/Auto、工具暴露和 audit。,1431,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
15,6489,kittors/CliRelay,CliRelay,https://github.com/kittors/CliRelay,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,"A multi-tenant gateway with model routing, quotas, roles, and audit logs.",团队多人管理模型访问并让用户查询各自用量。,"llm-gateway, multi-tenant, governance",订阅/OAuth转接是否允许取决于上游条款，MIT不授予服务再分发权。,README tenants/users、permission profiles、PG/Redis。,1021,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
16,442,different-ai/openwork,OpenWork,https://github.com/different-ai/openwork,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,"A workspace for sharing agent workflows, skills, and connected services across people and tools.",组织发布并分配能力给团队或个人，成员从已有 AI 客户端复用同一技能与连接，减少重复配置。,"ai-native, collaboration, skills, governance",组织控制平面在 ee，生产使用受订阅及免费人数条件限制；不能把整个产品标为 MIT。,README L3-7、L27-29、OpenWork Den、Licensing,23676,2026-09-22T06:52:20.283315+00:00,23686,False,2026-09-22T06:51:13Z,NOASSERTION,https://github.com/different-ai/openwork/blob/dev/README.md,b8abe13e652105b94446beb691bb2aa0ced4715512dc2697986458f54446ba32,https://github.com/different-ai/openwork/blob/dev/LICENSE,5e5b2649fd7f0dd83e21cc7b911e8d95af1e7456744c6e492bfc5c057858d45b,False,EE 控制面,核心包 MIT；组织控制面、MCP 网关和推理能力在 EE，生产使用需订阅。
17,2358,nextlevelbuilder/goclaw,GoClaw,https://github.com/nextlevelbuilder/goclaw,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,A multi-tenant agent gateway with workspaces and task orchestration.,服务器版为团队隔离成员会话和工作区，集中管理代理与渠道接入。,"agents, teams",Lite 桌面版无 RBAC/多租户；CC BY-NC，不应写成可无条件商业使用。,README L67–72、Lite vs Standard、369：RBAC/多租户和版本。,3607,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
18,3014,1Panel-dev/CordysCRM,Cordys CRM,https://github.com/1Panel-dev/CordysCRM,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,A self-hosted CRM with AI skill interfaces and sales collaboration.,销售团队共用客户、权限、审批记录和分析，接入 AI 辅助线索及成单分析。,"crm, teams",FIT2CLOUD 许可含 GPLv3 之外限制；AI 助手和分析引擎需配置。,README L16、22–25、83、129：团队功能、审批和许可。,2733,2026-09-22T06:52:20.898285+00:00,2737,False,2026-09-22T06:52:13Z,NOASSERTION,https://github.com/1Panel-dev/CordysCRM/blob/main/README.md,50a0e3dedb4484d8c877d2c6a64129cbf33432a9d5d8600bd5f379c7dab37a05,https://github.com/1Panel-dev/CordysCRM/blob/main/LICENSE,7514b773ba2bc3bcb24c005575094d29fa624ef83e1e63adffbdb70d8b5ab103,False,附加许可,FIT2CLOUD Open Source License 基于 GPLv3 并带额外限制；CRM 团队功能明确。
19,4296,superdesigndev/treg,Treg,https://github.com/superdesigndev/treg,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,"A shared tool registry and gateway for agent APIs, credentials, skills, and CLIs.",团队集中维护凭据与技能，让成员代理复用工具并保留调用审计。,"ai-native, tool-gateway, collaboration, governance",Apache 附加条款限制竞争性托管；第三方调用收费与自托管代码分开。,README 团队成员、服务端凭据、共享 skills、调用账单与日志。,1740,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
20,4967,najmuzzaman-mohammad/gawkbot,gawkbot,https://github.com/najmuzzaman-mohammad/gawkbot,保留待深核,团队价值信号较强，保留后续补查；暂不把 README 能力直接写成收录结论。,"A VM-based automation agent with microapps, human approvals, and teammate access.",团队可共享自动化机器人与工作面板，并人工审批对外写操作。,"ai-native, automation, collaboration",Sustainable Use License 非宽松开源；unsafe 可绕过检查，集成数量和效果未测。,README Share With a Team Member、VM、routines 和 approval gate。,1446,,,,,,,,,,False,保留待深核,团队价值信号较强，保留后续补查；暂不把 README 能力直接写成收录结论。
21,5770,FunnyWolf/agentic-soc-platform,Agentic SOC Platform,https://github.com/FunnyWolf/agentic-soc-platform,保留待深核,团队价值信号较强，保留后续补查；暂不把 README 能力直接写成收录结论。,"A security-operations platform with AI investigations, cases, and team governance.",安全团队在统一案件中共享SIEM数据、情报和调查报告。,"ai-native, security, soc, collaboration",模型配置影响数据流；全本地部署不自动保证外部LLM不收数据。,README case/playbook、LDAP、角色、Inbox和audit。,1191,2026-09-21T16:23:17.316899+00:00,1191,False,2026-08-05T15:50:31Z,,https://github.com/FunnyWolf/agentic-soc-platform/blob/master/README.md,2068919e4b073fe1ef5ec86bd34c6cdbdfd1e6f22a520e6c1bd052006cbb0b79,,,False,保留待深核,团队价值信号较强，保留后续补查；暂不把 README 能力直接写成收录结论。
22,6358,atlassian/atlassian-mcp-server,Atlassian MCP Server,https://github.com/atlassian/atlassian-mcp-server,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目。,"An official hosted bridge to Jira, Confluence, and Atlassian teamwork data.",团队可按现有权限检索任务/知识并从助手处理工作。,"mcp, collaboration, project-management",云服务不是完整server源码；第三方连接器full/limited权限语义不同。,READMEOAuth/tokens、permission groups、audit和TeamworkGraph。,1050,,,,,,,,,,False,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目。
23,70,netdata/netdata,Netdata,https://github.com/netdata/netdata,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,Infrastructure monitoring with per-metric anomaly detection and shared operational dashboards.,运维团队通过异常评分及集中告警定位故障；Cloud 提供成员权限和集中视图。,"operations, observability, anomaly-detection",Agent 是 GPL 开源，UI 与 Cloud 闭源；组织 RBAC/SSO 属于 Cloud，不写成开源 Agent 自带。,README Key Features、Ecosystem、License L506-512,80606,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
24,480,teableio/teable,Teable,https://github.com/teableio/teable,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,A collaborative data platform with AI workflows and app building on top of shared PostgreSQL records.,业务和研发围绕同一表格、视图、权限及自动化协作，AI 在已有业务数据上构建流程和应用。,"data, collaboration, workflow",Standalone 自建没有 AI/App Builder；官方完整镜像需付费计划解锁 AI，不能宣传社区版免费全功能。,README Four platforms、Deploy L79-84、License L163-170,21811,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
25,720,superset-sh/superset,Superset (coding workspace),https://github.com/superset-sh/superset,保留待深核,团队价值信号较强，保留后续补查；暂不把 README 能力直接写成收录结论。,"A coding-agent workbench with isolated worktrees, diff review, and workspace handoff tools.",工程师把并行 AI 任务分开运行，查看差异并交回编辑器或终端，接入团队现有代码评审流程。,"coding, review, workflow",不是 Apache Superset；ELv2 源码可见，不是标准开源；不宣称真人多人权限。,README L37-44、License,14422,,,,,,,,,,False,保留待深核,团队价值信号较强，保留后续补查；暂不把 README 能力直接写成收录结论。
26,3375,AgentsMesh/AgentsMesh,AgentsMesh,https://github.com/AgentsMesh/AgentsMesh,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,Operate coding-agent workloads across machines from a shared control plane.,团队统一 runner、任务、组织成员和代理会话，协调分布式工作。,"agents, teams",BSL，README 要求生产商业许可至变更日，后转 GPL；未验证大规模运行。,README L47、61、86–98、273–278：控制层与许可。,2354,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
27,3730,zhimaAi/chatwiki,ChatWiki,https://github.com/zhimaAi/chatwiki,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,Automate WeChat workflows with knowledge and human escalation.,运营客服团队共享账号权限、内容草稿与人机转接流程。,"customer-support, teams",定制 Apache 衍生许可要求组织商业使用另授权，非纯 Apache。,README L12–31、46、59、174–180：微信生态与许可。,2080,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
28,1363,dataease/SQLBot,SQLBot,https://github.com/dataease/SQLBot,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,A conversational analytics system with workspace isolation and data permissions.,业务与数据团队共用数据问答、术语与 SQL 示例，并分配访问范围。,"analytics, teams",FIT2CLOUD 许可证含 GPLv3 之外附加限制；未实测 SQL 正确率。,README L21、29–32：ChatBI、工作区与细粒度数据权限。,6836,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
29,3719,blackholll/loonflow,Loonflow,https://github.com/blackholll/loonflow,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,Manage business workflows and expose permission-aware tickets to agents.,团队共用审批、部门角色和审计，代理通过同一权限服务处理工单。,"workflows, teams",AGPL 核心，多租户需额外授权；托管 SaaS 独立。,README L32–52、109–113：流程、MCP 与多租户授权。,2090,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
30,65,lobehub/lobehub,LobeHub,https://github.com/lobehub/lobehub,保留待深核,团队价值信号较强，保留后续补查；暂不把 README 能力直接写成收录结论。,"An agent workspace that organizes shared project context, scheduled runs, and team collaboration.",README 明确 Workspace 团队共享空间，结合 Pages、项目和计划执行形成协作入口。,"ai-native, collaboration, agents, knowledge",正文采用 LobeHub Community License，徽章仍写 Apache；不能据徽章宣称全量 Apache 开源；各部署版本功能未实测。,README L155-162、L199-205、L480-487,82693,,,,,,,,,,False,保留待深核,团队价值信号较强，保留后续补查；暂不把 README 能力直接写成收录结论。
31,117,pathwaycom/pathway,Pathway,https://github.com/pathwaycom/pathway,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,Incremental data pipelines that keep AI retrieval indexes synchronized with changing organizational sources.,同步 Drive、SharePoint、数据库等共享资料的变化，让团队应用使用持续更新的知识而非手动重建索引。,"data, rag, development",BSL 1.1 源码可见；exactly-once 和部分分布式部署属 Enterprise；不宣称源系统权限自动继承。,README L47-55、L82-101、L284-286,62253,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
32,197,ToolJet/ToolJet,ToolJet,https://github.com/ToolJet/ToolJet,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,A collaborative internal-app builder with AI-assisted generation and agent access through MCP.,AI 生成的页面和查询保留在团队可共同编辑的平台中，沿用权限、环境及版本历史。,"low-code, collaboration, mcp",ToolJet AI 标注 Enterprise；MCP beta；不把高级 RBAC/SCIM 视为社区功能。,README L1-5、L25-31、CE/Enterprise 分类,40947,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
33,429,nocobase/nocobase,NocoBase,https://github.com/nocobase/nocobase,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,An AI-assisted no-code platform where people and agents build business applications under shared permissions.,业务人员可视化审查数据模型、页面和流程；AI 员工按角色、字段权限执行，保留可追溯记录。,"low-code, workflow, governance",插件化产品，未逐插件核验开源与商业授权，不能把全部产品能力归到免费版。,README Collaborative、Permission controls L118-124,24302,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
34,559,labring/sealos,Sealos,https://github.com/labring/sealos,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,"A Kubernetes-based application platform with shared development environments, workspace isolation, and AI deployment tooling.",团队统一云开发与部署环境，按工作区控制角色和资源额度，为 AI 应用提供运行基础。,"infrastructure, development, operations",Sealos Sustainable Use 自定义许可，不是标准开源许可证；不将宣传的 AI-native 等同原生多人智能体产品。,README L13、L109-113、License,18351,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
35,1029,fastrepl/anarlog,anarlog,https://github.com/fastrepl/anarlog,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,A local-first meeting notetaker with optional on-device transcription and shareable note surfaces.,成员将会议音频转为可检查笔记，整理决策和待办后交接团队，IT 可评估自建组件。,"meetings, notes, handoff",社区本地应用 MIT，企业组件商业许可；不是 char 当前源码，未退役；是否本地处理取决于模型选择。,README L44-56、repo layout、history/license,9358,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
36,1520,lightdash/lightdash,Lightdash,https://github.com/lightdash/lightdash,保留待深核,团队价值信号较强，保留后续补查；暂不把 README 能力直接写成收录结论。,"Governed analytics with AI agents, shared metrics, and Git-based delivery.",数据与业务团队共用指标语义和权限，并通过 PR、CI 评审分析变更。,"analytics, teams, ai-native",可自建核心 BI；AI 与企业产品介绍不能全部归入免费核心。,README L22–24、36–42、66、92：团队流程与企业许可。,6145,,,,,,,,,,False,保留待深核,团队价值信号较强，保留后续补查；暂不把 README 能力直接写成收录结论。
37,2898,confident-ai/deepteam,DeepTeam,https://github.com/confident-ai/deepteam,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,Red-team LLM applications with configurable attacks and evaluations.,安全与 AI 团队共享风险场景、评估标准和回归检查。,"security, evaluation",团队托管报告在 Confident AI；本地运行不等于所用模型都离线。,README L42–49、61、85–94：框架、攻击与团队报告。,2884,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
38,3577,proma-ai/Proma,Proma,https://github.com/proma-ai/Proma,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,A desktop agent workspace with commercial team distribution options.,团队版管理员可分配共享额度、查看用量并下发统一技能版本。,"workspace, teams",组织技能和额度管理属于商业版，开源版需自建且迭代放缓。,README L61、67–79、131：开源/商业分工。,2195,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
39,4555,activeloopai/hivemind,Hivemind,https://github.com/activeloopai/hivemind,方法技能另列,主要是技能、方法、模板或学习资料，适合实践栏目。,A shared agent-memory system that captures traces and turns team experience into reusable skills.,工程师的代理经验可在团队工作空间内检索和复用。,"ai-native, memory, collaboration, skills",默认云后端；同工作空间所有用户可读捕获数据，支持退出采集；BYOC 不等于整个控制服务本地。,README 明确跨成员传播、结构化 traces、技能沉淀与工作空间隔离。,1619,,,,,,,,,,False,方法技能另列,主要是技能、方法、模板或学习资料，适合实践栏目。
40,6266,getrebuild/rebuild,REBUILD,https://github.com/getrebuild/rebuild,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。,A configurable business-management system with AI assistants and workflow automation.,业务团队可共享实体、部门角色、审批和专属助手。,"ai-assisted, enterprise-platform, workflow",GPL/商业双许可，具体AI和高阶功能版差需确认。,README零代码建模、细权限、AI与IM。,1069,,,,,,,,,,False,商业或许可边界待核,团队价值存在，但版本、企业功能、托管服务或许可证边界需要确认。
