rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested
11,3636,WordPress/agent-skills,WordPress Agent Skills,https://github.com/WordPress/agent-skills,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Official development skills and checklists for WordPress agents.,团队版本管理统一区块、插件、权限与项目分流规范。,"skills, web-development",v1 仍迭代，测试来自维护者，未独立复现每个技能。,README L5–7、23–31、69、95：官方审阅和团队共享。,2156,,,,,,,,,,False
12,3673,benborla/mcp-server-mysql,MySQL MCP (benborla),https://github.com/benborla/mcp-server-mysql,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Expose MySQL queries with configurable access and result controls.,数据与工程团队复用只读默认查询、schema 权限和脱敏入口。,"mcp, database",写入可显式启用；脱敏和权限未实测，数据库账号仍需最小权限。,完整 README L19–26：读写开关、多库与鉴权。,2127,,,,,,,,,,False
13,4007,Yuan-lab-LLM/ClawManager,ClawManager,https://github.com/Yuan-lab-LLM/ClawManager,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,"A Kubernetes control plane for agent runtimes, governed model access, and reusable resources.",平台团队集中管理多用户代理实例、身份目录、成本和运行治理。,"ai-native, governance, kubernetes, agent-operations",Team 编排部分包含代理成员，不能全解读为真人协作；各隔离模式及安全效果未测。,README LDAP/角色映射、owner isolation、AI Gateway、审计和共享资源。,1896,2026-09-21T16:20:36.766908+00:00,1896,False,2026-09-21T06:59:01Z,MIT,https://github.com/Yuan-lab-LLM/ClawManager/blob/main/README.md,3630897099abd15cdb1bda509f2f8202a345ec919e9d80409f1777be029322da,https://github.com/Yuan-lab-LLM/ClawManager/blob/main/LICENSE,8f171739b3635771a5a93c8da847c02bc7a882fcc62796fb978998485b9306ad,False
14,4168,thinkgem/jeesite5,JeeSite 5,https://github.com/thinkgem/jeesite5,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"An enterprise development platform with AI assistants, RAG, and MCP integrations.",团队可复用组织权限底座、企业知识问答和业务工具集成。,"ai-assisted, enterprise-platform, rag, mcp",社区/商业功能需区分；Apache 之外附补充条款，不能按纯 Apache 宣传。,README AI 大模型、RAG、Tool/MCP 及 web-ai-cms/web-ai-mcp 模块。,1803,,,,,,,,,,False
15,4198,dreamfactorysoftware/dreamfactory,DreamFactory,https://github.com/dreamfactorysoftware/dreamfactory,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,A self-hosted data-access platform exposing governed REST and MCP interfaces.,团队可把企业数据库以受权限控制的 API 提供给 AI 应用。,"mcp, data-access, governance",审计、LDAP/SAML、部分连接器和多租户列入商业能力，不能全算社区版。,README 自动 API、RBAC、MCP 和数据源集成。,1788,,,,,,,,,,False
16,4204,vercel-labs/coding-agent-template,Coding Agent Template,https://github.com/vercel-labs/coding-agent-template,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A multi-user coding-agent template using OAuth and Vercel Sandbox.,团队可部署按用户区分任务、API key 和 GitHub 身份的编码代理服务。,"ai-native, starter-kit, coding, multi-user",依赖 Vercel/Neon 等服务；模板仍需验证部署配置和隔离。,README 明确 Multi-User、每人 GitHub token、任务跟踪和沙箱。,1785,,,,,,,,,,False
17,4266,open-mercato/open-mercato,Open Mercato,https://github.com/open-mercato/open-mercato,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,A business-application framework with AI development workflows and permission-scoped assistants.,团队共享业务架构、规格、review 流程，业务助手写操作由审批卡控制。,"ai-native, enterprise-platform, crm, governance",核心 MIT；企业包含 MFA、SSO/SCIM、记录锁与 Agent Orchestrator，不属于开源许可范围。团队 AI 与企业模块边界应进一步确认。,README CRM/ERP、组织 RBAC、架构技能与 scoped AI assistants。；企业包 README: https://github.com/open-mercato/open-mercato/blob/main/packages/enterprise/README.md,1756,2026-09-21T16:20:36.766981+00:00,1760,False,2026-09-21T15:35:59Z,MIT,https://github.com/open-mercato/open-mercato/blob/main/README.md,b3bc6bb769df0ddf91c4e762b109dfee19451cb64f0e96e55f9d12fb14ed17f3,https://github.com/open-mercato/open-mercato/blob/main/LICENSE,3548f649fe91fe8bd8f7590194a5eb9506c08dab54e4c6c4a011064dfda66606,False
18,4275,wgpsec/AboutSecurity,AboutSecurity,https://github.com/wgpsec/AboutSecurity,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,A security knowledge base with agent-readable assessment methodologies and skills.,安全团队可共享代码审计、云与 AI 安全的检查方法。,"ai-native, security, skills, knowledge-base",方法资料非完整自动安全平台；关联 tchkiller 能力不算本仓，未执行任何技能。,README Skills 分类含 AI security、code-audit、DFIR 和报告。,1752,,,,,,,,,,False
19,4381,durable-streams/durable-streams,Durable Streams,https://github.com/durable-streams/durable-streams,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Persistent real-time streams for resilient agent sessions and collaborative applications.,团队应用可复用多人/多设备同步和持久会话基础协议。,"ai-native, collaboration, realtime, infrastructure",底层数据原语，应用身份授权和冲突处理仍需集成。,README 可寻址流、CRDT/OT 同步与 collaborative multi-user。,1695,,,,,,,,,,False
20,4565,stanford-oval/WikiChat,WikiChat,https://github.com/stanford-oval/WikiChat,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"A Wikipedia-grounded chatbot with retrieval, inline citations, and optional multi-user deployment.",团队可搭建有引用的知识问答入口并保存用户会话。,"rag, knowledge-assistant, multi-user",主要围绕 Wikipedia，不是任意企业知识库；不保证完全无幻觉。,README 七阶段 grounding、引用、多用户前后端和 Cosmos DB。,1618,,,,,,,,,,False
21,4649,steedos/steedos-platform,Steedos / ObjectStack,https://github.com/steedos/steedos-platform,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A metadata-driven enterprise platform evolving toward AI-generated schemas and interfaces.,团队可复用字段级权限、业务模块和工作流底座。,"ai-native, enterprise-platform, low-code",架构迁移中，v2仍支持而新开发聚焦 ObjectStack；新旧能力不可混为已完整迁移。,README Text-to-Schema、ObjectQL/ObjectOS/Object UI 与 RBAC。,1580,,,,,,,,,,False
22,4681,rivet-dev/sandbox-agent,Sandbox Agent,https://github.com/rivet-dev/sandbox-agent,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A server exposing coding-agent sessions through a unified HTTP and event-stream API.,平台团队可统一远程代理控制、权限交互、轨迹存储和回放。,"ai-native, agent-infrastructure, api",运行在已有 sandbox 内，本身不供应底层隔离；Gigacode 为实验功能。,README HTTP/SSE、统一事件 schema、server/SDK。,1570,,,,,,,,,,False
23,4720,matlab/matlab-mcp-server,MATLAB MCP Server,https://github.com/matlab/matlab-mcp-server,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,The official MCP server for running and checking MATLAB code from AI applications.,工程研究团队的成员可各自复用 MATLAB 计算与检查工具。,"mcp, scientific-computing, developer-tools",明确禁止多个用户共享 MCP 服务器，集中共享需联系 MathWorks；MATLAB 许可另算。,README 官方服务器、启动/执行/代码检查，R2021a+。,1547,,,,,,,,,,False
24,4754,rohitg00/skillkit,SkillKit,https://github.com/rohitg00/skillkit,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,A toolkit for distributing agent skills through cross-agent formats and shared manifests.,团队提交 .skills manifest，使成员安装一致技能集。,"ai-native, skills, collaboration",上游技能许可证独立；宣称支持数量及兼容性未逐端测试。,README Team collaboration 的 manifest init/add/install。,1532,,,,,,,,,,False
25,4861,silverstein/minutes,Minutes,https://github.com/silverstein/minutes,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,A local conversation-memory app with transcription and selective MCP access.,团队成员可整理会议决策并授权助手检索历史记录。,"meeting-notes, speech-to-text, mcp, local-first",本地记录非多人协作库；选择云总结或助手时授权内容会发往供应商。,README 本地捕获/转写/Markdown 存储、MCP 检索。,1489,,,,,,,,,,False
26,4944,dyoshikawa/rulesync,Rulesync,https://github.com/dyoshikawa/rulesync,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,A CLI generating coding-agent configurations from unified project rules.,团队维护单一规则来源，同步不同工具的 skills、MCP 与权限配置。,"ai-native, configuration, developer-tools",各工具支持面不同；ignore 已弃用但14.x仍兼容，需按迁移规则。,README selective generation、import/export 和功能矩阵。,1454,,,,,,,,,,False
27,4967,najmuzzaman-mohammad/gawkbot,gawkbot,https://github.com/najmuzzaman-mohammad/gawkbot,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A VM-based automation agent with microapps, human approvals, and teammate access.",团队可共享自动化机器人与工作面板，并人工审批对外写操作。,"ai-native, automation, collaboration",Sustainable Use License 非宽松开源；unsafe 可绕过检查，集成数量和效果未测。,README Share With a Team Member、VM、routines 和 approval gate。,1446,,,,,,,,,,False
28,5053,ishaan1013/sandbox,Sandbox (ishaan1013),https://github.com/ishaan1013/sandbox,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,A collaborative cloud code editor with AI completion and live execution previews.,成员实时共同编辑代码，结合 AI 补全、终端与预览进行结对开发和原型评审。,"coding, collaboration, prototyping",最近推送为 2025-01-08，距核查日超过一年；维护与依赖兼容性待确认。依赖 Clerk、Liveblocks、E2B、Cloudflare，非完全离线自建。,README L5、运行依赖 L24-36,1416,2026-09-21T16:20:39.369028+00:00,1414,False,2025-01-08T20:26:18Z,MIT,https://github.com/ishaan1013/sandbox/blob/main/README.md,d2ca437fd2567056f4e31943d67bb83b9f0653cd653676662a43dcce4e447361,https://github.com/ishaan1013/sandbox/blob/main/LICENSE,2a91f8bbfdff95a56f0ca0141de1eaf9a0f15aa99dfb38f190bf9449562f60e4,False
29,5236,memorax-ai/memorax-code,MemoraX Code,https://github.com/memorax-ai/memorax-code,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,A shared memory layer for coding-agent context and engineering lessons.,工程团队可复用项目规则、架构决策和已验证修复知识。,"ai-native, memory, developer-tools",shared主要指跨工具会话，未证明组织成员隔离。,README coding/repository/personal memory、跨工具召回。,1351,,,,,,,,,,False
30,5336,astaxie/TokenHub,TokenHub,https://github.com/astaxie/TokenHub,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,"A model-governance gateway with project keys, team permissions, usage attribution, and provider-bill reconciliation.",成员、组长和管理员按职责管理模型与费用，平台和财务共用按项目、团队和成本中心归因的数据。,"gateway, governance, cost, self-hosted",上游提供商能力由账号决定；未验证账单对账准确性或宣称节省幅度。,README Enterprise Token Governance、角色表和 L75-79,1319,2026-09-21T16:20:39.391306+00:00,1323,False,2026-09-21T03:44:21Z,Apache-2.0,https://github.com/astaxie/TokenHub/blob/main/README.md,8db9b3b80d2dbc13e92eba1b89872aa0d2245623923e8c80684139a8479898c2,https://github.com/astaxie/TokenHub/blob/main/LICENSE,da21ef1c27c43354055432e2ee6dc804efcb08da774da190598150fca0a75d8f,False
31,5346,utkusen/sast-skills,LLM SAST Skills,https://github.com/utkusen/sast-skills,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Agent skills for architecture analysis, vulnerability review, and consolidated security reports.",安全研发团队可共享代码审计步骤与报告格式。,"ai-native, security, skills",模型提示不等价确定性SAST，误报/漏报未测；未执行扫描。,README 分析→检测→报告及13类技能。,1318,,,,,,,,,,False
32,5345,stenolabs/stenoai,StenographAI,https://github.com/stenolabs/stenoai,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"A local meeting recorder, transcriber, and AI notepad.",团队成员可整理会议摘要与回查对话，适合本地处理要求。,"meeting-notes, local-first, speech-to-text",Linux为alpha；外部模型可选，启用后并非绝不离开设备，赞助API另算。,README 本地录音/总结/查询、speaker labels。,1318,,,,,,,,,,False
33,5365,slothflowlabs/duckle,Duckle,https://github.com/slothflowlabs/duckle,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"A self-hosted ETL platform with AI-assisted pipeline authoring, roles, and deployment audit trails.",数据团队可在Git审阅单文件流水线，区分部署与启用权限。,"ai-assisted, data-engineering, collaboration, mcp",单机定位非分布式仓库；AI引擎可选下载，性能宣传未复现。,README canvas/Python/SQL、Duckie模型、MCP、admin/operator和audit。,1312,,,,,,,,,,False
34,5405,greyhaven-ai/autocontext,autocontext,https://github.com/greyhaven-ai/autocontext,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,A harness for evaluating agent runs and retaining reusable lessons and artifacts.,工程团队可比较代理迭代，复用trace、报告、playbook和数据集。,"ai-native, evaluation, agent-harness",递归改善依赖评测标准，不保证任何任务成功。,README evaluation loop、保留有效经验与可选训练产物。,1296,,,,,,,,,,False
35,5450,kuafuai/aipexbase,AIPEXBASE,https://github.com/kuafuai/aipexbase,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Backend infrastructure with MCP access, authentication, and application context services.",AI应用团队可复用身份、权限和可调用后端能力。,"ai-native, backend, mcp",具体服务能力和成熟度未测；AI-generated案例不能证明安全性。,README BaaS、MCP、统一context/data与user auth。,1283,,,,,,,,,,False
36,5454,LangChat/langchat,LangChat,https://github.com/LangChat/langchat,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A Java AI application foundation combining RBAC, knowledge bases, and chatbots.",企业团队可基于现有角色体系定制内部知识机器人。,"enterprise-ai, java, rag",Pro商业版独立，根README未详分全部功能。,README Java、RBAC、多模型和知识库定位。,1281,,,,,,,,,,False
37,5467,caliber-ai-org/ai-setup,Caliber,https://github.com/caliber-ai-org/ai-setup,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,A tool for generating and refreshing project context across coding assistants.,团队可同步规则并引导新成员安装hooks，减少上下文漂移。,"ai-native, context-engineering, team-practices",分数为结构/路径检查非语义准确率；PowerShell-only可漏hooks，生成调用外部模型。,README context生成、pre-commit refresh、team onboarding。,1276,,,,,,,,,,False
38,5541,jsmastery-pro/skills,Engineering Workflow Skills,https://github.com/jsmastery-pro/skills,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"File-based skills for scoping, specifying, implementing, reviewing, and documenting changes.",团队把状态保存在规格/测试/规则文件中，可跨成员接力。,"ai-native, skills, team-practices",方法依宿主执行，检查不保证需求全部满足。,README明确whole team和提交skills共享。,1252,,,,,,,,,,False
39,5587,langchain-ai/langchain-skills,LangChain Skills,https://github.com/langchain-ai/langchain-skills,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Official agent-development skills for LangChain, LangGraph, and Deep Agents.",团队可共享框架开发与人工审批模式。,"ai-native, skills, agent-development",early development；LangSmith轨迹工作流另仓。,README官方skills与middleware/HITL/eval技能。,1238,,,,,,,,,,False
40,5592,heymrun/heym,Heym,https://github.com/heymrun/heym,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A self-hosted agent platform with workflows, evaluations, approvals, and team sharing.",团队可共同维护流程、文件和dashboard，接企业OIDC并审阅执行。,"ai-native, collaboration, workflow, self-hosted",MIT加Commons Clause，属于source-available，受限制商业销售需另授权；worker本地存储依赖与安全边界需验证。,README team access、Drive sharing、SSO、eval与approval。,1237,,,,,,,,,,False
41,5646,sipyourdrink-ltd/bernstein,Bernstein,https://github.com/sipyourdrink-ltd/bernstein,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A policy-driven orchestration layer with task gates and verifiable execution records.,团队可版本化代理权限、验收与产物血缘。,"ai-native, governance, agent-orchestration",Beta；HMAC审计和强文件隔离需opt-in，调度确定性不等于LLM确定性。,README确定性调度、receipts、独立worktree。,1225,,,,,,,,,,False
42,5707,affaan-m/agentshield,AgentShield,https://github.com/affaan-m/agentshield,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A scanner for coding-agent configuration risks with CLI and CI integrations.,安全团队可审阅密钥、权限、hooks和MCP配置。,"ai-native, security, configuration",规则可能误报漏报，分数不证明安全；事件统计与赞助托管推理非本次验证。,README config auditor、GitHubAction与报告分级。,1208,,,,,,,,,,False
43,5754,TrafficGuard/typedai,TypedAI,https://github.com/TrafficGuard/typedai,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,"A TypeScript AI platform with coding agents, PR reviews, Slack, and multi-user deployment.",研发团队可共同使用AI工作流并接入GoogleCloudIAP身份。,"ai-native, typescript, collaboration",更多auth和infra scripts仍coming soon，需具体云部署。,README multi-user/SSO、PRreview和Slack bot。,1196,,,,,,,,,,False
44,5769,polterguy/magic,Magic Cloud,https://github.com/polterguy/magic,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"A self-hosted app builder with generated APIs, RBAC, and MCP tools.",团队可构建内部后台并按角色给代理业务操作权限。,"ai-native, app-builder, mcp",托管代码生成器独立且未来定价待定；sandbox安全宣传未验证。,README full-stack、Hyperlambda、MCP和jobs。,1192,,,,,,,,,,False
45,5784,alookai/alook,Alook,https://github.com/alookai/alook,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,Shared rooms that let teammates work with persistent AI agents running on their own machines.,邀请同事进服务器、频道或私信，通过固定身份共同访问本地编码智能体，跨设备延续对话。,"ai-native, collaboration, agents",自带已有智能体和模型服务；项目不供应或托管模型，未验证强多租户隔离。,README What is Alook、Features、Bring Your Own Agent,1189,2026-09-21T16:20:39.435192+00:00,1188,False,2026-09-21T15:50:07Z,Apache-2.0,https://github.com/alookai/alook/blob/main/README.md,7f3030e6e9ff69c4bbb4faf2dd32100b574cfeb40cbe19795cdcd19f5fb6921c,https://github.com/alookai/alook/blob/main/LICENSE,a7dd6dbc9804c7af32bc7e608c836920621d38bf730017aa267fe8b169043cf7,False
46,5792,HiveNexus/HiveChat,HiveChat,https://github.com/HiveNexus/HiveChat,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"An AI chat application with centrally configured models, user groups, and group-specific token quotas.",管理员一次配置模型，按成员分组控制模型访问和月度 Token 限额，可对接企微、钉钉、飞书登录。,"chat, governance, teams",根 LICENSE 为 Apache 加附加条件，开发并分发衍生作品要求商业许可，不能标为标准 Apache。最近推送为 2025-09-16；Cloud 多租户不归自建版。,README 功能概览 L9-23、后台管理 L52-54、Cloud 说明 L76-77,1187,2026-09-21T16:20:41.764095+00:00,1187,False,2025-09-16T16:08:49Z,Apache-2.0 + 附加商业条件,https://github.com/HiveNexus/HiveChat/blob/main/README.md,2f425cceae317cbf16716ff375a7cf280b01d18295e8377589c53371ffd57f6f,https://github.com/HiveNexus/HiveChat/blob/main/LICENSE,08a46c720808ac282b4c2bafcdf2c3279a357bc54c2c0c17c60c787871e12c43,False
47,5810,todo-for-ai/todo-for-ai,Todo for AI,https://github.com/todo-for-ai/todo-for-ai,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,An MCP-native task-management system for humans and AI assistants.,团队成员和代理同步项目任务并保留人工监督。,"ai-native, project-management, collaboration",README 标 MIT，但根 LICENSE 实为 Apache-2.0，存在许可标识冲突，确认前暂缓推荐。组织权限未实测。,READMEreal-time humans/agents、项目洞察和task管理。,1183,2026-09-21T16:20:41.882396+00:00,1184,False,2026-09-19T05:49:27Z,Apache-2.0,https://github.com/todo-for-ai/todo-for-ai/blob/main/README.md,4eb3ddbc0cbbc865aafeadeab40f23fae0d85bffca8ab19c74a8bc148bf69f3a,https://github.com/todo-for-ai/todo-for-ai/blob/main/LICENSE,ffd8fe7f02a2ea8191c5d6561d290400a291377eb577a4412a657c0e054f583f,False
48,5829,Azure/GPT-RAG,GPT-RAG,https://github.com/Azure/GPT-RAG,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,An Azure deployment accelerator for permission-aware agentic retrieval.,组织可跨业务知识源构建带权限裁剪的问答流程。,"enterprise-ai, rag, azure",加速器模板需云配置，ZeroTrust定位不等于自动合规认证。,README FoundryIQ、AgentFramework、MCP和IaC。,1178,,,,,,,,,,False
49,5913,zylos-ai/zylos-core,Zylos,https://github.com/zylos-ai/zylos-core,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,"Persistent agent infrastructure with memory, schedules, and messaging channels.",团队可通过飞书/Telegram共享任务入口和带审计通信。,"ai-native, chatops, agent-infrastructure",Slack等需自写channel，生产可靠为作者自述。,README C4bridge、持久记忆与协作网络。,1155,,,,,,,,,,False
50,5916,character-ai/prompt-poet,Prompt Poet,https://github.com/character-ai/prompt-poet,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"A YAML and Jinja2 toolkit for structured, reusable prompts.",技术与非技术成员可共同维护提示模板和截断优先级。,"prompt-management, llm, developer-tools",模板不是多人编辑服务，需控制输入与执行环境。,README低代码prompt、render/load与priority。,1154,,,,,,,,,,False
51,5951,video-db/call.md,Call.md,https://github.com/video-db/call.md,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,A meeting capture and analysis app integrating live agent workflows.,团队成员可整理会前/中/后信息并接后续流程。,"ai-native, meetings, automation",录音/转写/AI内容发VideoDB，不是全本地会议工具；权限配置需确认。,README录音/转写/分析与MCP/webhooks。,1147,,,,,,,,,,False
52,5976,geek-fun/dockit,DocKit,https://github.com/geek-fun/dockit,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,A NoSQL desktop client with AI query assistance and MCP integration.,数据团队成员可复用数据库查询、解释和诊断工具。,"ai-assisted, database, mcp",Apache源码但官方build AI/MCP属付费Ultimate，非免费社区功能。,README多NoSQL、agent/NLquery/MCP版本表。,1140,,,,,,,,,,False
53,6082,gabber-dev/gabber,Gabber,https://github.com/gabber-dev/gabber,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,A real-time multimodal engine for graph applications with multiple participants.,团队可构建多人语音/视频AI交互应用。,"realtime-ai, multimodal, framework",核心SUL/企业许可；移动/Unity等SDK仍coming soon。,README simultaneous streams、LiveKit和graph。,1111,,,,,,,,,,False
