id,repository,url,stars_snapshot,metadata_decision,metadata_reason,metadata_review_basis,source_status,source_review_basis,source_reviewed_at,tested,team_reason,limitations,evidence,source_url,source_sha256,additional_source,related_id
11,ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195271,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
12,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,187466,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 能力、部署和许可段落,2026-09-21T04:41:35.890618+00:00,False,把重复业务步骤转成可维护流程，由团队监控执行与成本并复用智能体模板。,团队用途是流程维护与运行，不宣称已核验细粒度多人权限；平台目录 PolyForm Shield，classic MIT。,README L41、L53-85、L109-149、L188-199,https://raw.githubusercontent.com/Significant-Gravitas/AutoGPT/HEAD/README.md,5e8b890b94d97d55260792c60b4db01c8aeaf9a83e100171c78b444d1e5e598f,,
13,anthropics/skills,https://github.com/anthropics/skills,177329,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 介绍、范围及许可边界段落,2026-09-21T04:42:09.873579+00:00,False,把品牌规范、组织工作流程和文档操作封装成团队可复用技能；与已有 Agent Skills 标准是实现和规范的区别。,示范用途，不保证等同 Claude 产品行为；文档类技能是 source-available，不能统一标为 Apache 开源。,README L5-29,https://raw.githubusercontent.com/anthropics/skills/HEAD/README.md,2fb9c4cc026366ea6e21c60cb23c908a4d27c62071819cc06beffaac102d0694,,
14,f/prompts.chat,https://github.com/f/prompts.chat,170842,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 功能、自建及许可段落,2026-09-21T04:42:09.873880+00:00,False,团队可自建带身份验证的私有提示词库，统一维护和复用工作模板。,未核验细粒度权限或审批流程；提示词数据 CC0，站点代码 MIT。,README L59-68、L100-112、L260-268,https://raw.githubusercontent.com/f/prompts.chat/HEAD/README.md,580241073020148096fb32d9731c9068ec5110b06d92c6e7f32816d2076d94d2,,
15,huggingface/transformers,https://github.com/huggingface/transformers,166453,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
16,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,158740,范围不优先：通用学习,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
17,langgenius/dify,https://github.com/langgenius/dify,156636,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
18,langflow-ai/langflow,https://github.com/langflow-ai/langflow,155060,此前未选择,此前审阅中未被选择，保留该决定，不自动重新推荐。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
19,msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,153776,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 简介、安装与角色目录节选,2026-09-21T04:42:09.873882+00:00,False,可共享角色提示词与交付模板，但这里的 team 指模拟专家角色，不是多人工作区。,大型角色库，所谓生产就绪未实测；与已有技能索引重叠，列补充资源。,README L19-28、L94-101 及角色列表,https://raw.githubusercontent.com/msitarzewski/agency-agents/HEAD/README.md,54de1262af45dda43ee6d078debcae65efd45666341a13de565df00273f34a78,,
20,open-webui/open-webui,https://github.com/open-webui/open-webui,152645,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
21,anthropics/claude-code,https://github.com/anthropics/claude-code,147147,已收录,现有Claude Code条目使用官方文档入口，属于同一产品。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
22,langchain-ai/langchain,https://github.com/langchain-ai/langchain,146750,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 完整产品正文,2026-09-21T04:42:09.873883+00:00,False,工程团队统一模型、检索器和工具接口，复用应用组件并协作迭代。,不自带多人工作区；LangSmith、LangGraph 是独立产品；现有清单只有 HITL 文档，不能算已收录整个框架。,README L24、L42-68,https://raw.githubusercontent.com/langchain-ai/langchain/HEAD/README.md,7e8f7983153194ce3e1d277e03c14623a2f7e3c6238ef71f066403a9f3398ad3,,
23,x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,143755,待README核验,系统提示词汇编需进一步核对来源授权与团队工程用途，不直接采信泄露或逆向宣传。,逐项阅读缓存的仓库名称与完整简介,not-priority,README 全文,2026-09-21T04:42:09.873885+00:00,False,主要是第三方系统提示词收集；README 未给出可核验的团队流程或官方来源保证。,不能将收集内容当成厂商官方实现；不优先纳入团队工具清单。,README Security Notice、Support、Sponsors,https://raw.githubusercontent.com/x1xhlol/system-prompts-and-models-of-ai-tools/HEAD/README.md,13bd1e88a01de77b6681c55f1d8cd71d9facb0c4906c92e254c7db98f7f31dfe,,
24,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,143101,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 用途、基准范围及命令段落,2026-09-21T04:42:09.873886+00:00,False,过度设计检查与技术债账本可辅助审查，但主要是编码风格技能，不是协作平台。,效果数值来自限定任务自测，不泛化引用；列补充技能。,README L58-77、L329-340,https://raw.githubusercontent.com/DietrichGebert/ponytail/HEAD/README.md,7c36893a7cef4e42a303ff3d29aed1e4c0a7ed405fda07f04b275938e9a868a4,,
25,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,139174,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 示例目录及说明段落,2026-09-21T04:43:23.195737+00:00,False,团队可参考客服、会议及 RAG 示例开展原型，但主要是示例集合，不能把模拟 agent teams 当成人员协作。,未逐一运行子项目，不把作者端到端测试宣传当成独立验证。,README 简介、Multi-agent Teams、Voice Agents 目录,https://raw.githubusercontent.com/Shubhamsaboo/awesome-llm-apps/HEAD/README.md,1ec02ce73515517f0fd67a8a0da7ff8181637984aff2442d36eb59b2096bef5e,,
26,farion1231/cc-switch,https://github.com/farion1231/cc-switch,133833,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README Why 与 Features 全部正文,2026-09-21T04:43:23.196060+00:00,False,可帮助开发者统一多工具本地配置，但云同步是跨设备同步，没有证实组织权限或多人共享。,赞助商的企业网关功能不属于 CC Switch；主要个人桌面配置管理。,README L208-262,https://raw.githubusercontent.com/farion1231/cc-switch/HEAD/README.md,e38bc0cc2c03dcc7230705fb38245942d2a152066a57c685a97e89eb94bbd840,,
27,nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,129344,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 功能、基础与付费边界、持久化规范段落,2026-09-21T04:43:23.196062+00:00,False,把色彩、字体、间距和组件规范保存为 MASTER.md 与页面覆盖文件，让团队各成员的 AI 生成界面沿用同一标准。,团队级高级 Design Token 架构和支持属于 Premium；本仓库是基础技能，不是设计协作 SaaS。,README L189-249、L434-459,https://raw.githubusercontent.com/nextlevelbuilder/ui-ux-pro-max-skill/HEAD/README.md,02756180c135dcf148db995a1e3f480b535c148f597fa08d3e8798b6b56f39b0,,
28,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,128978,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
29,openai/codex,https://github.com/openai/codex,125520,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
30,harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,124867,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
31,microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,120141,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 课程结构、前置条件和完整课程表,2026-09-21T04:43:23.196064+00:00,False,用于团队共同入门和内部训练；课程涵盖应用安全、交付生命周期及 Python/TypeScript 示例。,学习资源而非产品；不同章节有外部模型或云服务依赖，未逐章执行。,README L49-69、L98-123,https://raw.githubusercontent.com/microsoft/generative-ai-for-beginners/HEAD/README.md,a57045087a78daa833312fe2f4f404427985d89457d86eabeb69722df010d109,,
32,Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,119911,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 简介、Team setup、MCP 及 Enterprise 边界段落,2026-09-21T04:43:23.196066+00:00,False,代码与文档地图可提交 Git 共享，或用一个 HTTP MCP 服务供全队查询，帮助理解依赖和交接上下文。,代码 AST 本地处理；文档多模态分析可能调用模型；持续跨会议资料处理属于独立 Enterprise 层。,README L30-34、L447-461、L499-508、L852-856,https://raw.githubusercontent.com/Graphify-Labs/graphify/HEAD/README.md,0a5f76b2c4e6cfee46fbbdcab1aa3595d3ebf5f630a13657b544b8d87f766ce4,,
33,VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,116873,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 用途和文件结构段落,2026-09-21T04:43:23.196067+00:00,False,可以作为团队编写共享设计规范的参考，记录组件、颜色和断点，但不是品牌官方设计系统。,第三方网站视觉分析集合，不等于获授权的品牌规范；列补充参考。,README L29-31、L205-233,https://raw.githubusercontent.com/VoltAgent/awesome-design-md/HEAD/README.md,3f60b909bf66f844a0d122b45c3e39eaaffc43bfcf3c8717e9bc6b47c781457b,,
34,browser-use/browser-use,https://github.com/browser-use/browser-use,115568,此前未选择,此前审阅中未被选择，保留该决定，不自动重新推荐。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
35,supabase/supabase,https://github.com/supabase/supabase,110437,范围不优先：通用软件,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
36,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,107801,范围不优先：垂直领域,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
37,earendil-works/pi,https://github.com/earendil-works/pi,107776,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 包清单及权限段落,2026-09-21T04:44:02.537081+00:00,False,提供可嵌入 runtime、遥测和持久状态，但多人聊天集成指向另一仓库 pi-chat；核心本身不是团队空间。,没有内建文件、进程、网络或凭据权限隔离，不能写成开箱即用团队沙箱。,README L13-48,https://raw.githubusercontent.com/earendil-works/pi/HEAD/README.md,fe13915e217f905739b64124cbb03b72758fa2081b7198cabeefaee4914a6f14,,
38,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,107103,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
39,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,106987,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
40,rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,105303,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
41,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,104471,范围不优先：研究训练,DeepSeek-V3模型仓库；简介为空，标记模型类，不据此判断团队产品能力。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
42,pytorch/pytorch,https://github.com/pytorch/pytorch,103135,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
43,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,97719,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 流程、命令与技能范围段落,2026-09-21T04:44:02.537386+00:00,False,可把规格、任务拆分和质量门槛设为项目共用规范，改善 AI 代码进入团队审查与发布的过程。,技能模板，不是强制执行的独立 CI 平台；未验证作者生产级宣传。,README L3-35、L271-297、L408,https://raw.githubusercontent.com/addyosmani/agent-skills/HEAD/README.md,0956874d6ba30f65d45ff90a9d51e615627a836e22745f43b7aece14537bb028,,
44,nexu-io/open-design,https://github.com/nexu-io/open-design,97310,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 产品定位、复用、交付与许可段落,2026-09-21T04:44:02.537388+00:00,False,复用团队 DESIGN.md、模板和工作流，将原型或品牌调整交接为 HTML/PDF/PPTX 等产物。,以本地设计工作台为主，不声称多人实时编辑；云模型服务独立，调用模型可能联网。,README L32-36、L264-265、L490-491、L772,https://raw.githubusercontent.com/nexu-io/open-design/HEAD/README.md,0ba5c5493720b6904ebed05a4aa818897560f2201a976282125202af12d11612,,
45,hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,96746,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
46,karpathy/autoresearch,https://github.com/karpathy/autoresearch,96441,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
47,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,95345,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
48,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,94346,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 安装、记忆功能及托管边界段落,2026-09-21T04:44:02.537390+00:00,False,跨会话保存项目经验，可辅助延续工作，但 README 尚未证明组织共享权限和多人知识治理。,个人持久记忆不等于团队知识库；安装可选择托管观察器，不能笼统描述为纯本地。,README L143-155、L177-203、Documentation Cloud Sync,https://raw.githubusercontent.com/thedotmack/claude-mem/HEAD/README.md,1a1f647ee08262462cada110f985740f6d63a1e15d4767646219e670b0e10320,,
49,vllm-project/vllm,https://github.com/vllm-project/vllm,92263,此前未选择,此前审阅中未被选择，保留该决定，不自动重新推荐。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
50,deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,91983,范围不优先：研究训练,DeepSeek-R1模型仓库；简介为空，标记模型类，不据此判断团队产品能力。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
51,infiniflow/ragflow,https://github.com/infiniflow/ragflow,91071,此前未选择,此前审阅中未被选择，保留该决定，不自动重新推荐。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
52,microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,90775,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
53,PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,89895,此前未选择,此前审阅中未被选择，保留该决定，不自动重新推荐。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
54,Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,88819,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
55,ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,88794,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 企业版本边界及开源入口说明,2026-09-21T04:44:02.537391+00:00,False,企业版由管理员配置模型资源、成员及知识库权限，并集中审计团队对话。,这些团队能力明确来自另售 Enterprise Edition，不能归到 MIT 社区仓库或宣称免费自建可用。,README Enterprise Edition L60-72,https://raw.githubusercontent.com/ChatGPTNextWeb/NextChat/HEAD/README.md,a2e48c50a9c32392e67397a67f66a6e3bdcaeb7c5bb051629a9fb5133927916a,,
56,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,88653,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
57,odysseus-dev/odysseus,https://github.com/odysseus-dev/odysseus,87432,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 全文,2026-09-21T04:44:02.537392+00:00,False,整合邮件、文档与任务，但 README 没有明确共享工作区或成员权限，团队关联仍弱。,自托管和管理员登录不证明多人协作；默认 dev 分支与 main 稳定程度不同。,README Features、Security、Quick Start,https://raw.githubusercontent.com/odysseus-dev/odysseus/HEAD/README.md,b5ad1c806384dea6d86654767d1758eeb10b76b77a4cf8b6e46d2aa7eb5c58b5,,
58,koala73/worldmonitor,https://github.com/koala73/worldmonitor,87098,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 功能、部署及许可段落,2026-09-21T04:44:40.709273+00:00,False,情报团队可共用新闻态势看板，但 README 没证明分工、共享调查记录或审批协作。,领域看板，不把推断性风险分数当成可靠决策结果。,README What It Does L49-62,https://raw.githubusercontent.com/koala73/worldmonitor/HEAD/README.md,e039d384b4b2b2975fd177a6a84e129bd7aee4068d71669ae386cb0786b7b038,,
59,unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,83981,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 能力、示例和部署说明段落,2026-09-21T04:44:40.709339+00:00,False,为团队的知识库和 RAG 应用统一采集网页并输出结构化 Markdown，可自建接入流水线。,工程组件而非多人协作界面；Cloud API 为 closed beta，不能混同自建功能；未实测。,README L65-72、Quick Start、Self-Hosting Guide 链接,https://github.com/unclecode/crawl4ai#readme,3de808095d5cb8101f2467b9646a795a76e1d81d8cf7d953c171c66d7ae0d3dd,,
60,Panniantong/Agent-Reach,https://github.com/Panniantong/Agent-Reach,83868,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 平台集成与凭据边界节选,2026-09-21T04:44:40.709341+00:00,False,给个人或团队开发的智能体安装网络读取渠道，但没有组织级共享凭据、审计或权限证据。,依赖外部 CLI 和登录态，平台可用性会变；不复述永久免费或稳定保证。,README 问题说明、支持平台、设计理念、安全段落,https://raw.githubusercontent.com/Panniantong/Agent-Reach/HEAD/README.md,7b723bcd4e5992c37ad1c25c3a2badd89c723a105b787fde9d1aa19a215f7ff7,,
61,Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,83541,范围不优先：通用学习,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
62,Egonex-AI/Understand-Anything,https://github.com/Egonex-AI/Understand-Anything,83459,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 功能与 Share the Graph with Your Team 段落,2026-09-21T04:44:40.709343+00:00,False,生成架构导览与 onboarding 指南；把 JSON 图提交 Git 后，同事无需模型或 API key 即可查看。,生成需模型；离线共享的是结果图，不是多人共同编辑平台。,README L51-80、L168、L283-308,https://raw.githubusercontent.com/Egonex-AI/Understand-Anything/HEAD/README.md,684e5fff97c5893dc48bfd0f1f7d9ee2a0dd90dd33fbb0a5c01918d93651c9ed,,
63,fighting41love/funNLP,https://github.com/fighting41love/funNLP,83284,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
64,mlabonne/llm-course,https://github.com/mlabonne/llm-course,83048,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 结构及工程章节节选,2026-09-21T04:44:40.709344+00:00,False,工程分支覆盖部署与安全，可用团队学习，但整体包含大量模型训练与基础内容，与既有教程重叠。,列补充课程；未核验所有外链和笔记本。,README L12-19、Deploying LLMs、Securing LLMs,https://raw.githubusercontent.com/mlabonne/llm-course/HEAD/README.md,1614a13cb3645b1feddd93dbb496b9df6c054a338a3ca5e8d4ceb4326bd7278c,,
65,lobehub/lobehub,https://github.com/lobehub/lobehub,82693,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 协作、自建及许可段落,2026-09-21T04:44:40.709346+00:00,False,README 明确 Workspace 团队共享空间，结合 Pages、项目和计划执行形成协作入口。,正文采用 LobeHub Community License，徽章仍写 Apache；不能据徽章宣称全量 Apache 开源；各部署版本功能未实测。,README L155-162、L199-205、L480-487,https://raw.githubusercontent.com/lobehub/lobehub/HEAD/README.md,e0c3fea3e70dcf0cd23bbc9a5173909c7a2f4fa78530fae4b2dbf308a99aed90,,
66,D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,82643,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
