id,repository,url,stars_snapshot,metadata_decision,source_status,review_stage,final_status,description_en,team_reason,limits_and_notes,tested
11,ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195271,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
12,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,187466,待README核验,candidate,commercial-pass-001,团队直接性不足,"A platform for building and operating automated agent workflows with visual editing, schedules, and run tracking.",把重复业务步骤转成可维护流程，由团队监控执行与成本并复用智能体模板。,把重复业务步骤转成可维护流程，由团队监控执行与成本并复用智能体模板。 团队用途是流程维护与运行，不宣称已核验细粒度多人权限；平台目录 PolyForm Shield，classic MIT。,False
13,anthropics/skills,https://github.com/anthropics/skills,177329,待README核验,candidate,commercial-pass-001,商业或许可边界待核,"Reference skills for packaging repeatable document, development, and organizational workflows.",把品牌规范、组织工作流程和文档操作封装成团队可复用技能；与已有 Agent Skills 标准是实现和规范的区别。,把品牌规范、组织工作流程和文档操作封装成团队可复用技能；与已有 Agent Skills 标准是实现和规范的区别。 示范用途，不保证等同 Claude 产品行为；文档类技能是 source-available，不能统一标为 Apache 开源。,False
14,f/prompts.chat,https://github.com/f/prompts.chat,170842,待README核验,candidate,team-second-pass,建议审阅,A self-hostable prompt library with custom branding and authentication for sharing reusable AI instructions.,团队可自建带身份验证的私有提示词库，统一维护和复用工作模板。,团队可自建带身份验证的私有提示词库，统一维护和复用工作模板。 代码及站点原创内容 MIT；提示数据 CC0-1.0，根 LICENSE 明确分项适用。细粒度成员权限和审批流程未核验。,False
15,huggingface/transformers,https://github.com/huggingface/transformers,166453,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
16,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,158740,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
17,langgenius/dify,https://github.com/langgenius/dify,156636,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
18,langflow-ai/langflow,https://github.com/langflow-ai/langflow,155060,此前未选择,metadata-only,,metadata-only,,,此前审阅中未被选择，保留该决定，不自动重新推荐。,False
19,msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,153776,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
20,open-webui/open-webui,https://github.com/open-webui/open-webui,152645,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
21,anthropics/claude-code,https://github.com/anthropics/claude-code,147147,已收录,metadata-only,,metadata-only,,,现有Claude Code条目使用官方文档入口，属于同一产品。,False
22,langchain-ai/langchain,https://github.com/langchain-ai/langchain,146750,待README核验,candidate,team-second-pass,工程组件另列,Composable interfaces and integrations for building agents and LLM-powered applications.,工程团队统一模型、检索器和工具接口，复用应用组件并协作迭代。,工程团队统一模型、检索器和工具接口，复用应用组件并协作迭代。 不自带多人工作区；LangSmith、LangGraph 是独立产品；现有清单只有 HITL 文档，不能算已收录整个框架。,False
23,x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,143755,待README核验,not-priority,,not-priority,,,系统提示词汇编需进一步核对来源授权与团队工程用途，不直接采信泄露或逆向宣传。,False
24,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,143101,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
25,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,139174,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
26,farion1231/cc-switch,https://github.com/farion1231/cc-switch,133833,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
27,nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,129344,待README核验,candidate,team-second-pass,方法技能另列,A design skill that generates reusable UI guidance and persists project-wide design rules with page-level overrides.,把色彩、字体、间距和组件规范保存为 MASTER.md 与页面覆盖文件，让团队各成员的 AI 生成界面沿用同一标准。,把色彩、字体、间距和组件规范保存为 MASTER.md 与页面覆盖文件，让团队各成员的 AI 生成界面沿用同一标准。 团队级高级 Design Token 架构和支持属于 Premium；本仓库是基础技能，不是设计协作 SaaS。,False
28,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,128978,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
29,openai/codex,https://github.com/openai/codex,125520,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
30,harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,124867,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
31,microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,120141,待README核验,candidate,team-second-pass,方法技能另列,"A practical curriculum for building generative AI applications, including security, UX, RAG, and lifecycle management.",用于团队共同入门和内部训练；课程涵盖应用安全、交付生命周期及 Python/TypeScript 示例。,用于团队共同入门和内部训练；课程涵盖应用安全、交付生命周期及 Python/TypeScript 示例。 学习资源而非产品；不同章节有外部模型或云服务依赖，未逐章执行。,False
32,Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,119911,待README核验,candidate,deep-pass-001,保留待深核,A project knowledge graph that teams can version in Git and query through a shared MCP endpoint.,代码与文档地图可提交 Git 共享，或用一个 HTTP MCP 服务供全队查询，帮助理解依赖和交接上下文。,代码与文档地图可提交 Git 共享，或用一个 HTTP MCP 服务供全队查询，帮助理解依赖和交接上下文。 代码 AST 本地处理；文档多模态分析可能调用模型；持续跨会议资料处理属于独立 Enterprise 层。,False
33,VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,116873,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
34,browser-use/browser-use,https://github.com/browser-use/browser-use,115568,此前未选择,metadata-only,,metadata-only,,,此前审阅中未被选择，保留该决定，不自动重新推荐。,False
35,supabase/supabase,https://github.com/supabase/supabase,110437,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
36,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,107801,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
37,earendil-works/pi,https://github.com/earendil-works/pi,107776,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
38,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,107103,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
39,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,106987,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
40,rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,105303,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
41,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,104471,范围不优先：研究训练,metadata-only,,metadata-only,,,DeepSeek-V3模型仓库；简介为空，标记模型类，不据此判断团队产品能力。,False
42,pytorch/pytorch,https://github.com/pytorch/pytorch,103135,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
43,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,97719,待README核验,candidate,team-second-pass,方法技能另列,"Engineering skills that standardize specifications, incremental implementation, verification, and review for coding agents.",可把规格、任务拆分和质量门槛设为项目共用规范，改善 AI 代码进入团队审查与发布的过程。,可把规格、任务拆分和质量门槛设为项目共用规范，改善 AI 代码进入团队审查与发布的过程。 技能模板，不是强制执行的独立 CI 平台；未验证作者生产级宣传。,False
44,nexu-io/open-design,https://github.com/nexu-io/open-design,97310,待README核验,candidate,team-second-pass,团队直接性不足,A design workspace that uses coding agents and reusable design-system files to produce prototypes and deliverable artifacts.,复用团队 DESIGN.md、模板和工作流，将原型或品牌调整交接为 HTML/PDF/PPTX 等产物。,复用团队 DESIGN.md、模板和工作流，将原型或品牌调整交接为 HTML/PDF/PPTX 等产物。 以本地设计工作台为主，不声称多人实时编辑；云模型服务独立，调用模型可能联网。,False
45,hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,96746,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
46,karpathy/autoresearch,https://github.com/karpathy/autoresearch,96441,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
47,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,95345,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
48,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,94346,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
49,vllm-project/vllm,https://github.com/vllm-project/vllm,92263,此前未选择,metadata-only,,metadata-only,,,此前审阅中未被选择，保留该决定，不自动重新推荐。,False
50,deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,91983,范围不优先：研究训练,metadata-only,,metadata-only,,,DeepSeek-R1模型仓库；简介为空，标记模型类，不据此判断团队产品能力。,False
51,infiniflow/ragflow,https://github.com/infiniflow/ragflow,91071,此前未选择,metadata-only,,metadata-only,,,此前审阅中未被选择，保留该决定，不自动重新推荐。,False
52,microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,90775,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
53,PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,89895,此前未选择,metadata-only,,metadata-only,,,此前审阅中未被选择，保留该决定，不自动重新推荐。,False
54,Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,88819,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
55,ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,88794,待README核验,candidate,commercial-pass-001,商业或许可边界待核,"An enterprise AI chat offering with centrally managed models, member permissions, and organizational knowledge access.",企业版由管理员配置模型资源、成员及知识库权限，并集中审计团队对话。,企业版由管理员配置模型资源、成员及知识库权限，并集中审计团队对话。 这些团队能力明确来自另售 Enterprise Edition，不能归到 MIT 社区仓库或宣称免费自建可用。,False
56,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,88653,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
57,odysseus-dev/odysseus,https://github.com/odysseus-dev/odysseus,87432,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
58,koala73/worldmonitor,https://github.com/koala73/worldmonitor,87098,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
59,unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,83981,待README核验,candidate,team-second-pass,工程组件另列,"A crawler that converts web content into structured, LLM-ready inputs for AI applications and retrieval pipelines.",为团队的知识库和 RAG 应用统一采集网页并输出结构化 Markdown，可自建接入流水线。,为团队的知识库和 RAG 应用统一采集网页并输出结构化 Markdown，可自建接入流水线。 工程组件而非多人协作界面；Cloud API 为 closed beta，不能混同自建功能；未实测。,False
60,Panniantong/Agent-Reach,https://github.com/Panniantong/Agent-Reach,83868,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
61,Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,83541,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
62,Egonex-AI/Understand-Anything,https://github.com/Egonex-AI/Understand-Anything,83459,待README核验,candidate,team-second-pass,团队直接性不足,A codebase knowledge graph with visual walkthroughs and shareable artifacts for onboarding and review.,生成架构导览与 onboarding 指南；把 JSON 图提交 Git 后，同事无需模型或 API key 即可查看。,生成架构导览与 onboarding 指南；把 JSON 图提交 Git 后，同事无需模型或 API key 即可查看。 生成需模型；离线共享的是结果图，不是多人共同编辑平台。,False
63,fighting41love/funNLP,https://github.com/fighting41love/funNLP,83284,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
64,mlabonne/llm-course,https://github.com/mlabonne/llm-course,83048,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
65,lobehub/lobehub,https://github.com/lobehub/lobehub,82693,待README核验,candidate,commercial-pass-001,保留待深核,"An agent workspace that organizes shared project context, scheduled runs, and team collaboration.",README 明确 Workspace 团队共享空间，结合 Pages、项目和计划执行形成协作入口。,README 明确 Workspace 团队共享空间，结合 Pages、项目和计划执行形成协作入口。 正文采用 LobeHub Community License，徽章仍写 Apache；不能据徽章宣称全量 Apache 开源；各部署版本功能未实测。,False
66,D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,82643,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
67,rtk-ai/rtk,https://github.com/rtk-ai/rtk,81158,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
68,paperclipai/paperclip,https://github.com/paperclipai/paperclip,81142,待README核验,candidate,team-second-pass,建议审阅,"An agent operations platform with tasks, human approvals, budgets, and organization-scoped activity tracking.",支持多个真人用户，按组织管理任务、审批、智能体角色和费用；保留执行记录便于负责人监督。,支持多个真人用户，按组织管理任务、审批、智能体角色和费用；保留执行记录便于负责人监督。 这里有明确真人用户证据，不只是 AI 组织图；不保证其预算和隔离宣传已经过独立测试。,False
69,d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,80859,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
70,netdata/netdata,https://github.com/netdata/netdata,80606,待README核验,candidate,commercial-pass-001,商业或许可边界待核,Infrastructure monitoring with per-metric anomaly detection and shared operational dashboards.,运维团队通过异常评分及集中告警定位故障；Cloud 提供成员权限和集中视图。,运维团队通过异常评分及集中告警定位故障；Cloud 提供成员权限和集中视图。 Agent 是 GPL 开源，UI 与 Cloud 闭源；组织 RBAC/SSO 属于 Cloud，不写成开源 Agent 自带。,False
71,opendatalab/MinerU,https://github.com/opendatalab/MinerU,80330,待README核验,candidate,commercial-pass-001,商业或许可边界待核,Document parsing and structured extraction tools for building searchable knowledge and AI application inputs.,将团队 PDF、Office 和图片资料转为统一结构及可追溯页块引用，接入共享知识库的数据处理链。,将团队 PDF、Office 和图片资料转为统一结构及可追溯页块引用，接入共享知识库的数据处理链。 是解析组件，不是多人知识协作产品；MinerU 许可有 Apache 之外附加条件；不同格式和质量档能力不同。,False
72,datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,80098,待README核验,candidate,team-second-pass,方法技能另列,"A practical agent-development curriculum covering memory, context engineering, protocols, evaluation, and applications.",可供工程团队统一学习智能体架构、记忆与评估实践，再开展共同原型。,可供工程团队统一学习智能体架构、记忆与评估实践，再开展共同原型。 教程不是团队平台；文档为 CC BY-NC-SA 4.0，不能描述为无条件商业复用。,False
73,dair-ai/Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,78505,待README核验,candidate,team-second-pass,方法技能另列,"A reference guide to prompt design, retrieval, tool use, and evaluation patterns.",帮助团队建立提示词术语和模板评估方法，可用于内部培训与工作规范参考。,帮助团队建立提示词术语和模板评估方法，可用于内部培训与工作规范参考。 指南与 DAIR 付费课程分开；未逐篇验证技术内容，不能视为效果保证。,False
74,nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,77389,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
75,shareAI-lab/learn-claude-code,https://github.com/shareAI-lab/learn-claude-code,77279,待README核验,candidate,team-second-pass,方法技能另列,"A step-by-step tutorial for building agent harnesses with permissions, memory, tasks, and workflow execution.",工程团队可以据此理解权限审批、任务依赖、持久调度和执行记录，减少自研 runtime 的沟通成本。,工程团队可以据此理解权限审批、任务依赖、持久调度和执行记录，减少自研 runtime 的沟通成本。 第三方教学项目，不是 Anthropic 官方源码；模拟 Agent Teams 不代表真人协作产品。,False
76,AppFlowy-IO/AppFlowy,https://github.com/AppFlowy-IO/AppFlowy,76865,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
77,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,76597,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
78,unslothai/unsloth,https://github.com/unslothai/unsloth,76504,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
79,ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,75402,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
80,microsoft/ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,75252,待README核验,candidate,team-second-pass,方法技能另列,"A practical course on agent design, trustworthy execution, memory, protocols, and production deployment.",供团队系统学习智能体工程，覆盖可信执行、生产部署、上下文和记忆。,供团队系统学习智能体工程，覆盖可信执行、生产部署、上下文和记忆。 主要示例依赖 Microsoft Agent Framework 和 Foundry，通常需要 Azure 账号；未实跑。,False
81,hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,74937,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
82,thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,74213,待README核验,candidate,team-second-pass,方法技能另列,A shared frontend review rule set with MCP access and reusable agent audit workflows.,人工审查者和 AI 读取同一套规则、验证步骤及修复指引，在 PR 和上线前检查中统一标准。,人工审查者和 AI 读取同一套规则、验证步骤及修复指引，在 PR 和上线前检查中统一标准。 检查规则不是自动证明合规或正确；MCP 托管入口与静态规则分开。,False
83,binhnguyennus/awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,74097,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
84,stablyai/orca,https://github.com/stablyai/orca,73670,待README核验,candidate,team-second-pass,团队直接性不足,A coding-agent workbench that connects isolated worktrees to GitHub and Linear tasks and supports inline review feedback.,从团队工单开启隔离任务，查看 PR 并将 diff 评论反馈给智能体，衔接团队任务与代码审查。,从团队工单开启隔离任务，查看 PR 并将 diff 评论反馈给智能体，衔接团队任务与代码审查。 桌面工作台与手机遥控，不宣称多人实时共同编辑；团队关联通过已有 GitHub/Linear 工作流。,False
85,OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,73311,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
86,headroomlabs-ai/headroom,https://github.com/headroomlabs-ai/headroom,73273,待README核验,candidate,commercial-pass-001,保留待深核,A local context-compression layer with recoverable source content and reusable lessons from failed agent sessions.,团队可在 AI 应用调用链压缩上下文，并将失败经验写入项目共用规则文件；组织部署另有服务。,团队可在 AI 应用调用链压缩上下文，并将失败经验写入项目共用规则文件；组织部署另有服务。 OSS 定位个人本地使用；组织集中配置、SSO 和共享看板属于单独服务；压缩质量和节省比例未实测。,False
87,ruvnet/ruflo,https://github.com/ruvnet/ruflo,72940,待README核验,candidate,team-second-pass,团队直接性不足,"An agent orchestration toolkit with reusable workflows, persistent memory, and cross-installation coordination.",工程团队可复用任务流程和项目记忆，通过跨部署通信及变更前检查交接工作。,工程团队可复用任务流程和项目记忆，通过跨部署通信及变更前检查交接工作。 主要是智能体编排，不能当成多人 SaaS；不背书自动合规、零泄漏或性能倍数；Web UI beta。,False
88,career-ops-hq/career-ops,https://github.com/career-ops-hq/career-ops,72266,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
89,daytonaio/daytona,https://github.com/daytonaio/daytona,71742,已收录,metadata-only,,metadata-only,,,现有Daytona条目使用官方文档入口，属于同一产品。,False
90,colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,71611,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
91,binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,71368,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
92,ansible/ansible,https://github.com/ansible/ansible,70750,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
93,FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,70527,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
94,Fission-AI/OpenSpec,https://github.com/Fission-AI/OpenSpec,69683,待README核验,candidate,team-second-pass,方法技能另列,"Version-controlled specifications and change plans shared across people, coding agents, and repositories.",统一需求、设计和实施任务；跨仓库规格库让平台团队维护规范、产品团队只读引用，便于计划评审和交接。,统一需求、设计和实施任务；跨仓库规格库让平台团队维护规范、产品团队只读引用，便于计划评审和交接。 跨仓库 Stores 为 beta；采用 Git 共享，不是独立项目管理 SaaS。,False
95,pbakaus/impeccable,https://github.com/pbakaus/impeccable,69402,待README核验,candidate,team-second-pass,方法技能另列,Design guidance and review tools that persist product context and check AI-generated interfaces.,团队在仓库共享 PRODUCT.md、DESIGN.md 与检查配置，统一界面质量标准及迭代反馈。,团队在仓库共享 PRODUCT.md、DESIGN.md 与检查配置，统一界面质量标准及迭代反馈。 规则检测和 LLM 评审能力不同；不是多人设计画布，未实测视觉效果。,False
96,cline/cline,https://github.com/cline/cline,68893,待README核验,candidate,team-second-pass,团队直接性不足,"A coding agent with plan-and-act workflows, human approval, and extensible tool and lifecycle hooks.",开发者先审计划和变更，再接入团队的日志、审计或自定义策略插件，支持可控 AI 开发。,开发者先审计划和变更，再接入团队的日志、审计或自定义策略插件，支持可控 AI 开发。 Multi-Agent Teams 指智能体协作，不是真人组织权限；自动批准可改变人工控制边界。,False
97,microsoft/AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners,68766,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
98,diegosouzapw/OmniRoute,https://github.com/diegosouzapw/OmniRoute,68615,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
99,openinterpreter/openinterpreter,https://github.com/openinterpreter/openinterpreter,68394,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
100,tt-a1i/archify,https://github.com/tt-a1i/archify,68301,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
101,asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,67882,待README核验,not-priority,,not-priority,,,提取的系统提示词汇编，需核对来源和团队工程用途，不按厂商官方技能处理。,False
102,labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,67473,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
