rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested,live_errors
17,326,assafelovic/gpt-researcher,GPT Researcher,https://github.com/assafelovic/gpt-researcher,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,A customizable research agent that produces cited reports from web and local sources.,研究或产品团队可共享带引用的调研产物，并定制领域研究流程作为人工评审输入。,"research, reports, agents",实验应用，不保证无偏或事实准确；智能体协作不代表真人多人权限。,README L25-29、定制与实验说明,29542,,,,,,,,,,False,
18,354,Budibase/budibase,Budibase,https://github.com/Budibase/budibase,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"An operations platform combining internal apps, AI agents, and automated approval workflows.",员工请求可转为记录、审批与通知，业务和工程共同维护内部操作流程。,"workflow, low-code, operations",GPL/MPL 核心与 BSL 付费功能分开，不能据产品总览宣称全部免费可自建。,README Operations with AI agents、License,28293,,,,,,,,,,False,
19,405,enescingoz/awesome-n8n-templates,Awesome n8n Templates,https://github.com/enescingoz/awesome-n8n-templates,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Importable workflow examples for AI-assisted email, document processing, lead routing, and team notifications.",运营、销售与工程可借鉴现有工作流连接共享表格、消息和 AI 步骤，减少重复搭建。,"workflow, templates, automation",示例合集，需逐模板配置与测试；n8n 和第三方服务许可不由本仓库替代。,README 范围、导入步骤、邮件和表格模板分类,25488,,,,,,,,,,False,
20,460,NVIDIA/NemoClaw,NVIDIA NemoClaw,https://github.com/NVIDIA/NemoClaw,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A reference stack for operating supported agents in OpenShell sandboxes with network policies and lifecycle controls.,平台团队统一配置受支持智能体的运行环境、网络出口、快照和操作审批。,"security, agents, operations",依赖 OpenShell，参考栈不等于安全保证；roadmap 不代表交付承诺。,README L12-19、Network Policies L60,22502,,,,,,,,,,False,
21,552,teambit/bit,Bit,https://github.com/teambit/bit,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A component build system that exposes reusable code and project blueprints to developers and AI agents.,团队共享组件与创建标准，AI 通过 MCP 复用现有模块，从开发到 CI 减少重复实现。,"coding, standards, reuse",开源工具与 Bit Cloud/Ripple CI 独立，可配置本地或自选 CI。,README L26-37、CI L121,18489,,,,,,,,,,False,
22,590,Canner/WrenAI,WrenAI,https://github.com/Canner/WrenAI,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A generative BI engine with reviewable business definitions, governed SQL generation, and shareable analytical outputs.",团队将指标、连接关系与业务知识版本化，给 AI 统一查询口径，再共享分析看板。,"analytics, data, governance",组织级部署、Git Sync 和高级治理含商业服务边界，不将全部团队云功能归给 Apache 引擎。,README What WrenAI is、Git Sync、商业边界 L150-155,17701,,,,,,,,,,False,
23,599,larksuite/cli,Lark CLI,https://github.com/larksuite/cli,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Lark's CLI and skill packages for connecting agents to documents, tables, calendars, tasks, and approvals.",在团队已有飞书资产上自动处理任务，企业可通过 wrapper 集中管凭据、限制命令并接审计。,"integration, cli, workflow",以授权用户身份执行；README 不建议直接把个人凭据 bot 放进多人群，企业集成需配置边界。,README L9、Enterprise path L28、业务域及安全边界,17348,,,,,,,,,,False,
24,630,triggerdotdev/trigger.dev,Trigger.dev,https://github.com/triggerdotdev/trigger.dev,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"A TypeScript workflow platform for durable AI tasks, human feedback, queues, and execution traces.",工程团队运行长期 AI 任务，按需暂停等待同事批准或反馈，并共享日志与运行状态。,"workflow, human-in-the-loop, operations",自建与托管伸缩边界需按部署确认，不把无超时宣传视为无限资源保证。,README L23-39,16354,,,,,,,,,,False,
25,702,mindfold-ai/Trellis,Trellis,https://github.com/mindfold-ai/Trellis,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"A repository-based engineering framework for shared specifications, task context, and persistent agent memory.",团队共享规范和任务，个人日志分离，AI 在不同工具里沿用同一工程标准与审查背景。,"standards, coding, handoff, skills",AGPL；文件式流程而非多人 SaaS，不保证模型完全遵守规范。,README Why Trellis、team FAQ L114-130,14747,,,,,,,,,,False,
26,715,bytebase/bytebase,Bytebase,https://github.com/bytebase/bytebase,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A database control plane that governs human and agent queries and changes through reviews, access rules, and audit records.",研发、DBA 和安全人员在统一审批流程中处理 AI 数据操作，保留变更和访问记录。,"data, governance, review",各高级权限功能的社区/商业版本需按套餐确认，不把平台总览全部归为免费能力。,README L11-15、Key Features,14499,,,,,,,,,,False,
27,798,TencentCloud/CubeSandbox,CubeSandbox,https://github.com/TencentCloud/CubeSandbox,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Agent sandbox infrastructure with cluster deployment, snapshots, and controlled network egress.",平台团队集中供给执行环境和凭据出口，复用隔离任务、暂停恢复与审计设施。,"sandbox, infrastructure, security",部分 snapshot 路径 preview；不引用启动耗时、极致隔离等未实测宣传。,README 核心定位、跨节点状态、CubeEgress,12625,,,,,,,,,,False,
28,902,modelcontextprotocol/inspector,MCP Inspector,https://github.com/modelcontextprotocol/inspector,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Web, CLI, and terminal tools for inspecting and testing MCP servers.",开发团队共享协议调试方式，并把服务检查接 CI 或智能体反馈循环，核对工具行为。,"mcp, testing, development",v2 与 legacy v1 分开，不将旧配置当当前通用；不是 MCP 服务治理平台。,README L3-7、版本线说明,10913,,,,,,,,,,False,
29,926,VoltAgent/voltagent,VoltAgent,https://github.com/VoltAgent/voltagent,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A TypeScript agent framework with workflow suspension, tool integration, and operational-console options.",工程团队用同一 runtime 维护工具和流程，接入人工审批，并通过控制台排查运行情况。,"framework, workflow, observability",开源 framework 与 VoltOps Console Cloud/Self-hosted 的功能授权需分别确认，不混同全部免费。,README 两部分 L39-42、expense approval L161,10649,,,,,,,,,,False,
30,929,skypilot-org/skypilot,SkyPilot,https://github.com/skypilot-org/skypilot,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A shared control plane for scheduling and operating AI workloads across compute environments.,AI 团队提交作业，基础设施团队统一管理算力、调度和资源共享，减少重复部署和资源浪费。,"infrastructure, mlops, operations",Agent Sessions/Sandboxes 等新闻入口需单独核验成熟度，不当作所有部署已支持。,README L31-34、team deployment L73,10624,,,,,,,,,,False,
31,945,kangarooking/cangjie-skill,Cangjie Skill,https://github.com/kangarooking/cangjie-skill,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"A toolchain for turning source-backed methods into versioned, callable skill bundles.",团队把获准使用的学习资料和方法提炼成共享技能，保留来源、更新差异和校验过程。,"skills, knowledge, distribution",提炼结果需复核，工具 MIT 不授权任意复制原书或视频内容。,README v2.5.0、Verification/Bundle graph,10373,,,,,,,,,,False,
32,1044,activeloopai/deeplake,Deep Lake,https://github.com/activeloopai/deeplake,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Data infrastructure for multimodal AI datasets, retrieval, versioning, and lineage.",模型和应用团队共享数据版本及来源，把多模态样本、检索和训练数据连接起来。,"data, mlops, lineage",平台与各数据集许可独立，未核验托管/自建全部功能边界。,README What is Deep Lake L25-30,9242,,,,,,,,,,False,
33,1127,rocketride-org/rocketride-server,RocketRide,https://github.com/rocketride-org/rocketride-server,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"An AI pipeline builder and runtime with portable definitions, visual editing, debugging, and deployment tools.",团队共享可版本化 JSON 管线，在熟悉 IDE 内共同构建、运行和检查 AI 数据流程。,"workflow, development, observability",不采纳运行即生产就绪的保证；模型和外部数据服务需单独配置。,README L19-23、shared pipelines L273、engine license,8476,,,,,,,,,,False,
34,1220,HKUDS/OpenSpace,OpenSpace,https://github.com/HKUDS/OpenSpace,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,"A skill lifecycle platform with retrieval, evaluation, lineage, and reviewable sharing.",团队共享成功工作方法，并依据历史与质量信号复用技能。,"skills, knowledge, governance",效果评估非安全认证；需配置运行权限。,README L29-41、L206、hub,7714,,,,,,,,,,False,
35,1244,flyteorg/flyte,Flyte,https://github.com/flyteorg/flyte,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A Python runtime for durable ML pipelines, models, and agent workflows.",团队共享可恢复任务与算力工作流，衔接研发和生产运行。,"mlops, workflow",Flyte 2 分布式开源后端仍 coming soon；当前生产后端来自 Union，不混同 Flyte 1。,README L18、backend L153-155,7541,,,,,,,,,,False,
36,1331,deanpeters/Product-Manager-Skills,Product Manager Skills,https://github.com/deanpeters/Product-Manager-Skills,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Structured product-management frameworks for AI-assisted planning.,产品团队共享需求、利益相关方对齐和路线图模板。,"skills, product",CC BY-NC-SA；README 允许日常团队使用，但转售与再授权受限。,README L26、32–36、49–62：框架与共同上下文。,7022,,,,,,,,,,False,
37,1344,open-multi-agent/open-multi-agent,Open Multi-Agent,https://github.com/open-multi-agent/open-multi-agent,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A self-hosted agent runtime with durable approvals and verifiable execution records.,组织可将人工审批和可离线核验的记录接入智能体流程。,"agents, governance",运行库而非托管后台；无模型调用的演示不证明真实模型表现。,README L11–12、89–105：持久审批与执行收据。,6946,,,,,,,,,,False,
38,1359,clearml/clearml,ClearML,https://github.com/clearml/clearml,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Track experiments, datasets, and ML workflows in a shared platform.",团队共享实验、产物和报告，并复现实验环境与数据版本。,"mlops, collaboration",编排、服务等有独立组件，不能仅安装此 SDK 就视为完整平台。,README L21–32、181–187：模块、报告和团队可见性。,6878,,,,,,,,,,False,
39,1418,openJiuwen-ai/jiuwenswarm,JiuwenSwarm,https://github.com/openJiuwen-ai/jiuwenswarm,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,A distributed agent system with human checkpoints and reusable workflows.,工程团队可编排复杂任务、设置人工检查与预算并查看执行树。,"agents, workflows",team 主要指智能体群组，不能推断真人多租户权限。,README L39、45–52、158：集群、HITL、预算和工具审批。,6530,,,,,,,,,,False,
40,1432,Devin-AXIS/iPolloWork,iPolloWork,https://github.com/Devin-AXIS/iPolloWork,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,A local-first workbench for agent tasks and editable deliverables.,围绕项目集中查看职责、任务、审批与可编辑成果，连接人与智能体工作。,"ai-native, workspace",Source Available License；不同引擎集成方式不同，未核验多人隔离。,README L23–49：项目协作、运行时和权限审查。,6471,,,,,,,,,,False,
41,1472,microsoft/agent-governance-toolkit,Agent Governance Toolkit,https://github.com/microsoft/agent-governance-toolkit,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Add policy enforcement, agent identity, and audit records to agent applications.",平台团队统一约束工具行为、归因操作并保留审计依据。,"governance, security",Public Preview 可能破坏兼容；合规映射不等于认证，各语言能力不同。,README L37–51、230、274：公共预览、治理层与 SDK 差异。,6301,,,,,,,,,,False,
42,1492,builderz-labs/mission-control,Mission Control by Builderz,https://github.com/builderz-labs/mission-control,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,A self-hosted dashboard for agent operations and governance.,团队集中分派任务、复核失败、跟踪花费并管理角色和审批。,"ai-native, operations, teams",Alpha，API/schema 可能变化；shared/strict 工作区运行时资源边界不同，未实测。,README L5–8、23、82–94、177：控制面、治理与证据。,6249,2026-09-21T16:23:10.156226+00:00,6248,False,2026-09-20T18:43:27Z,MIT,https://github.com/builderz-labs/mission-control/blob/main/README.md,1cfb5a9b7bbfe40280e165fd3ca374103ecd40d3050c9be81917d9e0311e4cd1,https://github.com/builderz-labs/mission-control/blob/main/LICENSE,e1fb39bdbcefc6a2a27d29ec54f1be67b19356d7562d367f742566addc1b22b0,False,
43,1524,jacob-bd/gemini-notebook-mcp-cli,Gemini Notebook MCP CLI,https://github.com/jacob-bd/gemini-notebook-mcp-cli,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A community CLI and MCP bridge for managing notebooks and research workflows.,团队可通过智能体整理资料与管理笔记本共享。,"mcp, knowledge",非官方桥接；企业支持实验性，个人账户测试范围更广。,README L11–13、333–376、603：CLI、企业配置及共享章节。,6116,,,,,,,,,,False,
44,1553,FlorianBruniaux/claude-code-ultimate-guide,Claude Code Ultimate Guide,https://github.com/FlorianBruniaux/claude-code-ultimate-guide,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,A practical guide to agent workflows and organizational adoption.,覆盖团队推广、治理、指标与共享知识，供建立使用规范。,"learning, adoption",第三方指南；本次核验目录与定位，未逐章验证产品细节。,README L26、39、46、164：组织使用与记忆分享主题。,6009,,,,,,,,,,False,
45,1593,truefoundry/trueforge,TrueForge,https://github.com/truefoundry/trueforge,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,"An agent runtime with tools, approvals, persistent sessions, and embeddable UI.",团队可共享托管运行环境，并集中配置工具和人工检查点。,"agents, teams",local 默认无登录仅适合本机；沙箱当前依赖 Daytona，其他提供者计划中。,README L34–51、78–93：运行层、团队 hosted 模式与 OIDC。,5857,,,,,,,,,,False,
46,1609,PySpur-Dev/pyspur,PySpur,https://github.com/PySpur-Dev/pyspur,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,"Visually build, test, and debug agent workflows with human checkpoints.",工程团队维护测试案例、检查步骤结果，并在持久流程中等待人工审批。,"workflows, evaluation",自改进仍 Coming soon；10 倍效率为项目宣传未实测。,README L40–58、140：测试、可视化迭代与人工检查。,5785,,,,,,,,,,False,
47,1631,agentscope-ai/agentscope-java,AgentScope Java,https://github.com/agentscope-ai/agentscope-java,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A Java framework for persistent agents with tool approvals and distributed execution.,Java 团队复用审批、会话和分布式运行抽象，统一智能体工程实践。,"agents, java",AgentScope Service 控制面和外部 Agent Evolution 不能全部算进 Java 库。,README L56–64、189–195：框架与三态工具许可。,5712,,,,,,,,,,False,
48,1643,OpenSenseNova/SenseNova-Skills,SenseNova Skills,https://github.com/OpenSenseNova/SenseNova-Skills,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Reusable office skills for research, documents, and project coordination.",共享项目、工作项和版本产物，并记录进度与下一步建议。,"skills, ai-native, teams",技能套件和 Raccoon 商业产品分开，企业安全不直接归给技能。,README L21、160–175：team harness 和 proactive 项目记录。,5671,,,,,,,,,,False,
49,1655,cloudflare/agents,Cloudflare Agents,https://github.com/cloudflare/agents,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Build stateful agents with real-time synchronization and durable workflows.,工程团队复用持久会话、前端状态同步和人工审批构建 AI 应用。,"agents, infrastructure",依赖 Cloudflare 平台；不是开箱即用真人团队工作区。,README L8、84、105–114：Durable Objects、同步和工作流。,5610,,,,,,,,,,False,
50,1662,zenml-io/zenml,ZenML,https://github.com/zenml-io/zenml,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,Track and operationalize ML pipelines and agent workflows across infrastructure stacks.,AI 工程团队共享运行指标、代码版本和环境，并复用现有基础设施。,"mlops, workflows",ZenML Pro 另列；不把企业支持全部归为 Apache 核心。,README L49–59、145：公司场景、运行追踪和 MCP 元数据查询。,5588,,,,,,,,,,False,
51,1670,iflytek/astron-rpa,AstronRPA,https://github.com/iflytek/astron-rpa,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,A visual RPA platform integrated with AI agent workflows.,业务团队共建跨应用自动化，并通过团队市场分享机器人和调度任务。,"automation, teams",团队能力部分称 enterprise modules，具体版本和许可证条款待采用前确认。,README L29–40：Astron Agent 双向调用、团队市场与权限。,5545,,,,,,,,,,False,
52,1736,looplj/axonhub,AxonHub,https://github.com/looplj/axonhub,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"An AI gateway with model routing, usage budgets, and access controls.",平台团队集中模型接入、配额、请求追踪和数据访问范围。,"gateway, governance",Apache 与 LGPL 多许可证；任意模型兼容是宣传概括，未实测全量。,README L133–155：协议转换、预算和企业 RBAC。,5267,,,,,,,,,,False,
53,1772,iflytek/skillhub,SkillHub,https://github.com/iflytek/skillhub,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,"A self-hosted registry for publishing, versioning, reviewing, and distributing organizational agent skills.",团队命名空间、Owner/Admin/Member、技能版本和晋升审批，把个人技能沉淀成组织受控资产。,"skills, governance, knowledge, self-hosted",注册分发平台，不负责所有技能执行；不能替代被分发技能各自的许可和审查。,README L41-42、Highlights L81-106、对照表 L503-508,5131,2026-09-21T16:23:10.166642+00:00,5135,False,2026-09-21T15:54:42Z,Apache-2.0,https://github.com/iflytek/skillhub/blob/main/README.md,bac47f23e0ee825c4655d6260793f3909a80aad6780145a5e3f759941c2f5fa2,https://github.com/iflytek/skillhub/blob/main/LICENSE,3fe70565009e4b7b70e42b0b51a9b63c504658ed5c8a68b2475a02146f8ff9da,False,
54,1798,SenteLabsAI/OpenExecutive,Open Executive,https://github.com/SenteLabsAI/OpenExecutive,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,A configurable management assistant with business integrations and approval policies.,管理团队复用组织知识、预算审批与渠道上下文，辅助项目协调。,"management, ai-native",README 标 Apache-2.0，但 LICENSE 多处删改标准条文，GitHub 返回 NOASSERTION；暂不直接标为标准 Apache，需维护者澄清。云托管仍未交付。,README L8–12、307、352：治理、集成、允许名单和跨渠道记忆。,5063,2026-09-21T16:23:10.182570+00:00,5083,False,2026-09-21T14:09:10Z,标题 Apache-2.0，正文改写待确认,https://github.com/SenteLabsAI/OpenExecutive/blob/main/README.md,983c522eed8c750cec1d47df2134e186d3cf74496018a7cb62b450e42a51efe4,https://github.com/SenteLabsAI/OpenExecutive/blob/main/LICENSE,eec2a0b4c2479bb9da0255dc46bcb78023256537174166042a9b96119d4bb7ae,False,
