rank,id,repository,name,url,decision,description_en,team_reason,tags,limitations,evidence,stars_snapshot,tested
11,5643,jx-sec/jxwaf,JXWAF,https://github.com/jx-sec/jxwaf,工程组件另列,A web firewall combining AI-model and semantic traffic analysis.,安全团队可统一业务防护策略和日志。,"ai-assisted, security, waf",多租户仅云WAF，标准版不含；防护测试为作者自述，不作效果保证。,README双引擎、标准/专业/云WAF版本表。,1225,False
12,5661,hkjarral/AVA-AI-Voice-Agent-for-Asterisk,AVA Voice Agent for Asterisk,https://github.com/hkjarral/AVA-AI-Voice-Agent-for-Asterisk,工程组件另列,A voice-agent integration for Asterisk and FreePBX with configurable speech and model providers.,客服/通信团队可接入既有PBX并管理语音流程。,"voice-agents, telephony, customer-support",多安装管理AVA Operator商业早期预览，非MIT Core；通信兼容需验证。,README模块化STT/LLM/TTS、AdminUI和Asterisk。,1221,False
13,5719,compdemocracy/polis,Polis,https://github.com/compdemocracy/polis,商业/许可候选待确认,An AI-assisted platform for gathering opinions and mapping collective sentiment.,团队/社区可收集意见并了解共识和分歧。,"collaboration, feedback, collective-intelligence",不是生成式代理；群体解释需合理样本，AGPL附额外许可。,README sentiment gathering及deliberation方法。,1204,False
14,5879,microsoft/powerbi-modeling-mcp,Power BI Modeling MCP,https://github.com/microsoft/powerbi-modeling-mcp,工程组件另列,An official MCP interface for creating and validating Power BI semantic models.,BI团队可批量维护指标、关系和DAX。,"mcp, business-intelligence, data-modeling",公开预览且EULA；不能编辑报表页/布局，模型变更需审阅。,README模型CRUD、TMDL、事务及elicitation。,1165,False
15,5940,agentbay-ai/wuying-agentbay-sdk,AgentBay SDK,https://github.com/agentbay-ai/wuying-agentbay-sdk,工程组件另列,"SDKs for cloud sandboxes supporting browser, desktop, mobile, and code workloads.",平台团队可统一代理执行环境接口。,"ai-native, sandbox, sdk",Apache仅SDK，云沙箱非随仓自托管全部实现；需服务账号。,README四语言SDK与云环境。,1148,False
16,5974,deanpeters/product-manager-prompts,Product Manager Prompts,https://github.com/deanpeters/product-manager-prompts,方法技能另列,"Reusable prompts for product discovery, requirements, stakeholder alignment, and delivery.",产品团队可共同复用PRD、用户故事和风险复盘结构。,"prompt-templates, product-management, team-practices",当前CC BY-NC-SA，商业需书面许可；旧MIT副本条件另算。,README按问题选prompt、team定制。,1140,False
17,5998,yuezhiai/jonex,Jonex,https://github.com/yuezhiai/jonex,商业/许可候选待确认,"A multimodal knowledge platform combining parsing, wiki, ontology, and retrieval.",团队可把分散内容转成有来源的业务知识服务。,"ai-native, knowledge-management, rag",自定义Apache附加条件；治理与推理准确性未测。,README ingestion、domain compilation、graph/vector和反馈。,1134,False
18,6014,EuniAI/Prometheus,Prometheus by EuniAI,https://github.com/EuniAI/Prometheus,商业/许可候选待确认,"A coding-agent platform for issue analysis, reproduction, and patch generation.",研发团队可复用知识图驱动的修复验收流程。,"ai-native, coding, bug-fixing",GPL/商业双许可，benchmark和竞品描述未复验。,README DRRV、LangGraph与validated patches。,1128,False
19,6081,xalgorix/xalgorix,Xalgorix,https://github.com/xalgorix/xalgorix,商业/许可候选待确认,An AI security-testing agent with independent finding verification and reports.,安全团队可复核漏洞证据和修复报告。,"ai-native, security, reporting",自托管single-operator；团队/RBAC在托管Team，验证成功不保证通用可利用性。,README独立verifier、dashboard、PDF。,1112,False
20,6282,asklokesh/loki-mode,Loki Mode,https://github.com/asklokesh/loki-mode,商业/许可候选待确认,A spec-driven coding harness with deterministic checks and verification artifacts.,团队可对PR运行检查并保存可审阅证据。,"ai-native, coding, verification",BSL1.1，计划2030-03-19转Apache；企业服务独立、SAML仍规划，示例可跳过宿主权限。,README loki verify、evidence.json和quality gates。,1066,False
21,6304,JudgmentLabs/judgeval,Judgeval,https://github.com/JudgmentLabs/judgeval,工程组件另列,"A Python SDK for agent tracing, behavioral evaluation, and regression analysis.",团队可从生产轨迹构建评测并接告警。,"llmops, evaluation, observability",服务端监控依Judgment服务，judge可能误判。,READMEOTel、agent judges、history replay和org/project。,1062,False
22,6442,landing-ai/ade-python,LandingAI ADE Python,https://github.com/landing-ai/ade-python,工程组件另列,An official client for grounded document parsing and typed extraction APIs.,文档工程团队可统一PDF/图像抽取和异步作业。,"document-processing, structured-extraction, sdk",SDK非完整解析模型开源，需LandingAI服务。,README Markdown、JSONschema/Pydantic与v2。,1034,False
23,6455,ArcadeAI/arcade-mcp,Arcade MCP,https://github.com/ArcadeAI/arcade-mcp,工程组件另列,A Python MCP framework with authorization-aware tools and evaluations.,集成团队可复用内部API和OAuth工具授权。,"mcp, python, authorization",托管凭据/Cloud不等于MIT框架完整自托管服务。,READMErequires_auth、token scoping、eval/deploy。,1030,False
24,6466,vastxie/99AI,99AI,https://github.com/vastxie/99AI,商业/许可候选待确认,A self-hostable AI web platform with multiple users and model services.,团队可集中提供模型聊天与用户管理。,"enterprise-ai, multi-user, self-hosted",开发版授权另算，不能将全部功能默认视为Apache社区提供。,READMEprivate deploy、multiuser和运营功能。,1028,False
25,6483,HanyuanWang/LiveStream-Agent-Studio,LiveStream Agent Studio,https://github.com/HanyuanWang/LiveStream-Agent-Studio,商业/许可候选待确认,A Windows workbench for livestream-commerce analysis and content planning.,运营/投放/内容团队复用录屏、转写、流量和脚本产物。,"ai-native, marketing, content-production",首次公开Beta，仅评价测试/内部研究，平台会员权限与云费用另算。,README明确team流程与资产追踪。,1022,False
