rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested
11,4880,DEEIX-AI/DEEIX-Chat,DEEIX Chat,https://github.com/DEEIX-AI/DEEIX-Chat,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"An AI workspace combining model routing, chat, document retrieval, identity, and centralized usage administration.",管理员集中管理用户角色、模型路由、使用额度和审计记录，为成员提供统一 AI 入口。,"chat, governance, gateway, self-hosted",重型文档提取与 OCR 属可选服务；未核验所有身份供应商和计费路径，不承诺生产可靠性。,README Overview、Features L44-48、部署架构及 License,1480,2026-09-22T06:20:04.684834+00:00,1486,False,2026-09-21T11:45:03Z,Apache-2.0,https://github.com/DEEIX-AI/DEEIX-Chat/blob/dev/README.md,38609263312b7e7b0db01c4f622d26e28028569788e17fa7f8ec8ad3e53e5ecc,https://github.com/DEEIX-AI/DEEIX-Chat/blob/dev/LICENSE,4294def43aa4d47302b8bfc81d1d4162c015d58926d483913bee86827a6f8b09,False
12,349,rohitg00/agentmemory,agentmemory,https://github.com/rohitg00/agentmemory,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"Persistent agent memory with provenance, shared and private namespaces, and team context tools.",团队按命名空间共享经验，保留来源与操作审计，通过 share/feed 等接口交接背景。,"memory, knowledge, collaboration",完整能力需要运行服务；离线 shim 只提供小型工具集，不等同完整团队平台。,README L995-1002、L1088-1091、MCP shim 说明,28647,2026-09-22T06:20:05.245836+00:00,28694,False,2026-09-21T06:13:05Z,Apache-2.0,https://github.com/rohitg00/agentmemory/blob/main/README.md,49b467eb8da8f74115ac5ed0ea8cc6371c32d1c806b8a09f857319c28204147d,https://github.com/rohitg00/agentmemory/blob/main/LICENSE,76c8d49ab42216a2533f603fbafa20a1bf71b56de136a401be52da034dcc012c,False
13,842,dataelement/bisheng,BISHENG,https://github.com/dataelement/bisheng,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"An enterprise AI application platform with visual workflows, human feedback, and organizational access controls.",业务专家和研发共同编排文档审查、报告与客服流程，在执行中人工介入并按组管理应用权限。,"workflow, knowledge, human-in-the-loop",未逐项区分发行版商业功能，不声称全免费；专家级和高精度宣传未实测。,README Features L37-51,11988,2026-09-22T06:20:05.735021+00:00,11993,False,2026-09-22T05:46:48Z,Apache-2.0,https://github.com/dataelement/bisheng/blob/main/README.md,1c71014a43c132ebb7d2b8e6270e8399c4d06e4e00c2cdd43a833e487145c44a,https://github.com/dataelement/bisheng/blob/main/LICENSE,86ec6169ff02c09cca01bb674338db75fb527f5aa71f58c2becb11e7102afbe4,False
14,1100,CoreBunch/Instatic,Instatic,https://github.com/CoreBunch/Instatic,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A self-hosted CMS with agent-driven visual editing, editorial states, roles, and audit records.",内容与设计成员共管页面和发布流程，AI 修改保持可编辑节点，操作记录和角色帮助交接审阅。,"content, design, workflow, self-hosted",预 1.0，API/流程仍会变化；未实测权限和审计不可改写保证。,README AI editor L108、editorial L116、roles/audit L119-128,8740,2026-09-22T06:20:08.000690+00:00,8747,False,2026-09-13T20:51:13Z,MIT,https://github.com/CoreBunch/Instatic/blob/main/README.md,a194cec38008c67d42c72a03b98f76e3f1cef88a538515c4d2075b88eace8d6d,https://github.com/CoreBunch/Instatic/blob/main/LICENSE,980813dc0d9433e82df835d5b40286cee679f11387705283349fee8b6edafe0e,False
15,1275,akitaonrails/ai-memory,ai-memory,https://github.com/akitaonrails/ai-memory,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A shared memory service with per-project knowledge, private handoffs, and user attribution.",成员在同一服务器共享项目经验，个人交接保持私有，支持身份与审计。,"memory, collaboration, handoff",不将竞品比较作为事实；需配置多用户与数据作用域。,README L38-41、Teams L315-320,7349,2026-09-22T06:20:08.253448+00:00,7829,False,2026-09-22T00:14:33Z,MIT,https://github.com/akitaonrails/ai-memory/blob/main/README.md,1d0a918f3dc0c8234aff97b75e78d6ac4143cac9ad9127e77fb0fca2077b8eda,https://github.com/akitaonrails/ai-memory/blob/main/LICENSE,18332c61780ce8e694d4fa330770cd4d8c85e33f47ac13a80d72d70bb032ae72,False
16,1809,dtyq/magic,Magic,https://github.com/dtyq/magic,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"An enterprise agent platform with shared projects, budgets, and human approvals.",多名成员共用项目、分工模块并查看进度，按部门和成员控制预算。,"ai-native, teams, governance",根许可证返回 NOASSERTION，README 说明为基于 Apache 2.0 的 Magic Open Source License 并带额外限制；先确认可用范围。,README L48–53、94–102：组织知识、审批、预算和真人协作。,5037,2026-09-22T06:20:08.673631+00:00,5038,False,2026-08-12T12:46:11Z,NOASSERTION / Magic Open Source License,https://github.com/dtyq/magic/blob/master/README.md,d8b3f4f172548754f07284a933b4528943eb22c5ecdd92db04a4e1dcef10d3ac,https://github.com/dtyq/magic/blob/master/LICENSE,3810fe6c2d8889f9f87378ff1854409156004f6ced017d1fd12af55f0b7c7797,False
17,2110,dataelement/Clawith,Clawith,https://github.com/dataelement/Clawith,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,An agent collaboration platform with organization-level governance.,团队按组织共享知识、管理代理工作区，并审批危险操作和查看审计。,"ai-native, teams, governance",开源 demo 是不保证稳定的预览；托管生产服务另列。,README L36、50–60：身份、记忆、多租户 RBAC 和审批。,4156,,,,,,,,,,False
18,2512,melgarafael/DeskcommCRM,DeskcommCRM,https://github.com/melgarafael/DeskcommCRM,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A self-hosted WhatsApp CRM with AI agents and audited human handoffs.,销售与客服共用漏斗、角色权限、轮转分配和人机交接，按组织控制花费。,"crm, teams, ai-native",葡语原文转述；隔离、合规与防封号宣称未实测，两种 WhatsApp 接入不同。,README L255–269：CRM、RAG、人工关口、RBAC/RLS。,3377,,,,,,,,,,False
19,3190,felinics/Memoh,Memoh,https://github.com/felinics/Memoh,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"Give agents persistent workspaces, tools, and messaging access.",团队可为成员分配代理环境，共用部署并跨渠道接续任务。,"ai-native, teams",多用户范围和隔离未实测；云计算与 AGPL 软件许可分开。,README L31–35、45、90：独立工作区、多用户与自建。,2518,,,,,,,,,,False
20,3234,UnicomAI/wanwu,Wanwu,https://github.com/UnicomAI/wanwu,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"An enterprise agent platform combining organizational knowledge, workflow automation, model access, and permission controls.",团队统一管理知识与模型，用低代码流程连接 OA/CRM/ERP，并支持多租户与权限控制。,"agents, workflow, knowledge, self-hosted",不采纳竞品比较和自动合规宣传；具体业务流程与权限策略需自行配置和验证。,README 核心模块、BaaS L186-189、应用场景 L216-218,2478,,,,,,,,,,False
21,5473,mozilla-ai/cq,cq,https://github.com/mozilla-ai/cq,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A standard and tools for sharing structured lessons between agents.,团队可部署共享知识存储，复用经审批的经验而非反复踩坑。,"ai-native, memory, collaboration",0.x可能破坏性变更；云组织namespace仍规划，自建需负责auth/tenancy/RBAC。,README knowledge units、审批、CLI与self-host server。,1274,,,,,,,,,,False
22,5918,okou-ai/okou,Okou,https://github.com/okou-ai/okou,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A team agent workspace with reusable workflows and per-user tool permissions.,成员把工作方法交给团队复用，执行仍用各自权限。,"ai-native, collaboration, automation",根README未详述许可/自托管范围，不能宣称全部免费开放。,README workspace ownership、Slack、drafts、granular permissions和audit。,1154,,,,,,,,,,False
23,130,twentyhq/twenty,Twenty,https://github.com/twentyhq/twenty,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"A customizable CRM with AI-assisted record queries, data enrichment, and permission-scoped workflow agents.",销售团队共享客户与商机数据，让智能体按对象读写权限生成摘要、分类线索并起草跟进邮件。,"crm, workflow, collaboration",未核验所有部署版本套餐差异；按文档说明权限，不声称实测已覆盖。,README Why Twenty、Everything you need；官方 AI 文档 Features 与 Permissions and Access Control,57169,,,,,,,,,,False
24,519,every-app/open-seo,OpenSEO,https://github.com/every-app/open-seo,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A self-hostable SEO workspace with MCP access and reusable agent workflows.,营销团队可共享站点研究与 SEO 工作入口，让 AI 调用已有数据服务完成分析。,"marketing, analytics, mcp",依赖 DataForSEO key；未核验细粒度成员权限，托管订阅与自带 API 成本分开。,README AI skills、Main SEO Workflows、self-hosting L51,19725,,,,,,,,,,False
25,1569,kenn-io/agentsview,agentsview,https://github.com/kenn-io/agentsview,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Search agent sessions and track usage with optional shared dashboards.,团队可把成员本地会话推送到共享 PostgreSQL，集中查询和查看成本。,"observability, teams",默认本地；README 跟随 main，发布版能力需看变更日志。,README L3–8、567、604、727：本地归档与可选只读团队后端。,5955,,,,,,,,,,False
26,5143,elirantutia/vibeyard,Vibeyard,https://github.com/elirantutia/vibeyard,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"A coding-agent IDE with shared terminal sessions, task boards, and cost tracking.",团队成员可通过加密 P2P 分享会话，选择只读或可写共同处理任务。,"ai-native, collaboration, coding",会话分享不等于完整组织 RBAC；任务自动 Done 不证明验收通过。,README WebRTC/PIN、session sharing、kanban 与遥测。,1381,,,,,,,,,,False
27,5234,poco-ai/poco-claw,Poco,https://github.com/poco-ai/poco-claw,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"A self-hosted agent workspace with channels, trackable tasks, sandboxed execution, and shared artifacts.",在频道提及常驻智能体，将消息转为任务并查看执行进度；发布到共享文件供同事复用。,"ai-native, collaboration, agents, self-hosted",云订阅仍为 coming soon；README 内部链接出现 poco-agent 别名，最终链接待校验；未实测隔离。,README L23-27、L33-39、L51-64,1352,,,,,,,,,,False
28,2600,AprilNEA/AChat,AChat,https://github.com/AprilNEA/AChat,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A self-hosted AI conversation platform designed for teams.,团队集中整理 AI 对话、成员角色、权限和使用成本。,"chat, teams",仅 README 能力声明，未核验同步冲突、权限粒度和部署成熟度。,README L6、34–45：企业团队定位与明确功能。,3256,,,,,,,,,,False
29,2611,zmister2016/MrDoc,MrDoc,https://github.com/zmister2016/MrDoc,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A self-hosted document workspace with AI-assisted writing.,小团队按项目分配协作权限，集中维护文档并用 AI 辅助写作。,"knowledge, collaboration",本次核验根文档，未确认各版 AI 能力和商业授权范围。,README L38、61、68、70–72：团队文档、权限、AI 对话与写作。,3236,,,,,,,,,,False
30,2959,GerevAI/gerev,Gerev,https://github.com/GerevAI/gerev,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Search organizational conversations and documents with AI assistance.,成员跨业务工具查找内部知识，减少求助同事和重复搜索。,"search, knowledge",GitHub Enterprise、Microsoft Teams 等仍未勾选；Klu 托管链接不等于此仓全部功能。,README L14–17、Integrations、78：组织搜索和自建多用户。,2809,,,,,,,,,,False
31,5863,Ricky-7-Yan/intelligent-audit-system,AuditPilot,https://github.com/Ricky-7-Yan/intelligent-audit-system,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"An AI audit workspace linking evidence, human review, and remediation tasks.",审计团队统一控制模板、发现责任人及整改复核。,"ai-native, audit, collaboration, governance",单节点SQLite/RAG；bearer基线不替代企业SSO/KMS，未实测。,README evidence引用、RBAC/ABAC、项目隔离和不可变交付。,1170,,,,,,,,,,False
32,6055,mateaix/mateclaw,MateClaw,https://github.com/mateaix/mateclaw,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"A multi-user agent platform with workspace boundaries, approvals, and audit trails.",组织可统一管理用户/工具/会话，并复核持续任务与交付。,"ai-native, collaboration, governance",原生/DSH不同runtime，数据会发配置服务；安全未实测。,README多用户、ToolGuard RBAC、审批、TeamRun与JSON验收。,1118,,,,,,,,,,False
33,6087,Autumn-27/ARTEX,ARTEX,https://github.com/Autumn-27/ARTEX,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"An agentic security workspace with asset graphs, task traces, and approval records.",安全团队可追溯跨任务资产、发现和审批证据。,"ai-native, security, audit",AGPL；自主利用需限定授权，未执行。,README双图、任务dashboard、审批详情和report。,1110,,,,,,,,,,False
34,32,Graphify-Labs/graphify,Graphify,https://github.com/Graphify-Labs/graphify,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A project knowledge graph that teams can version in Git and query through a shared MCP endpoint.,代码与文档地图可提交 Git 共享，或用一个 HTTP MCP 服务供全队查询，帮助理解依赖和交接上下文。,"knowledge, coding, mcp",代码 AST 本地处理；文档多模态分析可能调用模型；持续跨会议资料处理属于独立 Enterprise 层。,README L30-34、L447-461、L499-508、L852-856,119911,,,,,,,,,,False
35,306,nanocoai/nanoclaw,NanoClaw,https://github.com/nanocoai/nanoclaw,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"Containerized agents that participate in team messaging with distinct identities, memory, and shared rooms.",Slack 中每个智能体有独立身份、容器和记忆，在共享房间与画布协作，并通过网关控制凭据。,"agents, collaboration, self-hosted",隔离和渠道需配置；依赖 OneCLI 等组件，不背书绝对安全或竞品比较。,README L23-26、L91-92、L223,30808,,,,,,,,,,False
36,1142,firerpa/lamda,FIRERPA Android,https://github.com/firerpa/lamda,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,An Android automation platform with MCP access and collaborative remote debugging.,明确多人并发远程访问，团队共同查看设备、验证选择器和调试自动化。,"testing, collaboration, mcp",设备服务、客户端及授权边界需分别确认；未实测并发隔离。,README L16-28,8354,,,,,,,,,,False
37,1294,craft-ai-agents/craft-agents-oss,Craft Agents,https://github.com/craft-ai-agents/craft-agents-oss,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"A desktop agent workspace for documents, integrations, and session sharing.",围绕业务文档和工具连接开展工作，并分享会话交接。,"ai-native, workspace",不是已核验的多人 RBAC；GUI 与 CLI 默认许可模式不同。,README L19、133–138、305：会话分享及权限模式。,7193,,,,,,,,,,False
38,1904,pacifio/atlas,Atlas by pacifio,https://github.com/pacifio/atlas,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"Track agent-generated changes with sessions, shared memory, and team sync.",团队将提交关联提示、工具和决策，通过组织同步交接编码上下文。,"ai-native, handoff",本地默认，团队同步需登录；Linux 构建未测试。,README L34–43、117、209：检查点、共享记忆与组织。,4729,,,,,,,,,,False
39,2299,polyaxon/polyaxon,Polyaxon,https://github.com/polyaxon/polyaxon,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Manage reproducible ML experiments and shared compute resources.,团队共享 GPU、查看成员项目与实验，统一训练工作负载。,"mlops, teams",平台组件和托管服务需区分；企业访问功能未细查。,README L22–27、172：ML 平台、共享自助资源和团队仪表盘。,3732,,,,,,,,,,False
40,2502,Intelligent-Internet/ii-agent,II Agent,https://github.com/Intelligent-Internet/ii-agent,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A general-purpose agent workspace for research and editable deliverables.,团队可在计划、研究与产物编辑之间交接，幻灯片模块明确提到协作编辑。,"ai-native, workspace",协作能力按模块区分，未核验组织权限和全部自建功能。,README L16–18、30–35、56：真实工作场景与应用模块。,3387,,,,,,,,,,False
41,2904,explorerhq/sql-explorer,SQL Explorer,https://github.com/explorerhq/sql-explorer,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Share SQL queries and explore data with AI-assisted analysis.,数据团队保存和共享查询，辅助业务成员分析数据。,"analytics, data",需适配 Django/数据库权限；不是自然语言查询正确性的保证。,README 项目介绍与功能：Django SQL 查询工具和 AI 辅助。,2874,,,,,,,,,,False
42,3100,AMAP-ML/SkillClaw,SkillClaw,https://github.com/AMAP-ML/SkillClaw,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Evolve and share agent skills from recorded experience.,成员将经验交给共同演化服务，检查共享技能、验证状态与版本历史。,"skills, collaboration",团队部署需共享存储与独立服务，访问隔离和自动改进质量未实测。,README L102、127、147–166、299：共享组和演化服务。,2627,,,,,,,,,,False
43,4322,SecureAI-Tools/SecureAI-Tools,SecureAI Tools,https://github.com/SecureAI-Tools/SecureAI-Tools,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Self-hosted AI chat and document Q&A with authentication and user management.,团队成员可共享一套自托管模型和文档问答入口。,"self-hosted, multi-user, rag",简单认证不等于企业 SSO/细粒度知识权限；模型服务需另配。,README 明确同事用户管理、账号认证、本地推理和 PDF 问答。,1725,,,,,,,,,,False
44,4446,bubbuild/bub,Bub,https://github.com/bubbuild/bub,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A small pluggable agent runtime for shared conversations and inspectable context.,明确面向多人和代理共处的群聊环境，保留可检查、回放及交接的记录。,"ai-native, collaboration, agent-runtime",小型 runtime，需要按渠道配置权限和业务能力。,README shared environments、multiple humans、append-only tape 与 Telegram。,1669,,,,,,,,,,False
45,5053,ishaan1013/sandbox,Sandbox (ishaan1013),https://github.com/ishaan1013/sandbox,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A collaborative cloud code editor with AI completion and live execution previews.,成员实时共同编辑代码，结合 AI 补全、终端与预览进行结对开发和原型评审。,"coding, collaboration, prototyping",本地启动仍依赖 Clerk、Liveblocks、E2B 和 Cloudflare 服务，不描述成完全离线独立部署。,README L5、运行依赖 L24-36,1416,,,,,,,,,,False
46,5107,agent0ai/space-agent,Space Agent,https://github.com/agent0ai/space-agent,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,An extensible agent workspace with user layers and group-shared tools.,团队可在个人层构建工具，再向群组共享流程与能力。,"ai-native, collaboration, workspace",前端 runtime 可自改界面，权限隔离效果未验证；不是无限可用性保证。,README hierarchical users/groups、独立层与 real server。,1400,,,,,,,,,,False
47,5913,zylos-ai/zylos-core,Zylos,https://github.com/zylos-ai/zylos-core,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"Persistent agent infrastructure with memory, schedules, and messaging channels.",团队可通过飞书/Telegram共享任务入口和带审计通信。,"ai-native, chatops, agent-infrastructure",Slack等需自写channel，生产可靠为作者自述。,README C4bridge、持久记忆与协作网络。,1155,,,,,,,,,,False
