rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested
11,400,Cinnamon/kotaemon,Kotaemon,https://github.com/Cinnamon/kotaemon,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A customizable document-QA application with multi-user login, private and public collections, and shared chats.",成员区分个人与公共文档集合，共享有价值的问答，团队可扩展自己的 RAG 管线。,"knowledge, rag, collaboration, self-hosted",未实测权限粒度与共享行为；外部模型或解析服务需单独配置。,README Introduction、For developers L69,25778,2026-09-21T16:15:10.897170+00:00,25776,False,2026-07-14T16:53:59Z,Apache-2.0,https://github.com/Cinnamon/kotaemon/blob/main/README.md,2809854945c054792099f9db34c8af8f4360e296ac8f091d120c37351b3c399e,https://github.com/Cinnamon/kotaemon/blob/main/LICENSE.txt,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,False
12,1155,max-sixty/worktrunk,Worktrunk,https://github.com/max-sixty/worktrunk,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,A Git worktree CLI for isolated agent tasks and reusable local workflow hooks.,工程成员用一致工作区流程隔离 AI 修改，方便测试和交接分支。,"coding, workflow",worktree 不保证最终合并无冲突；不是多用户 SaaS。,README L18-35,8211,,,,,,,,,,False
13,1672,HKUDS/ClawTeam,ClawTeam,https://github.com/HKUDS/ClawTeam,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"Coordinate CLI agents with shared tasks, worktrees, and multi-user namespaces.",多个真人可共享一个代理团队，通过命名空间区分成员并追踪任务。,"agents, teams",多用户命名空间不等于完整身份鉴权；自动研究效果未验证。,README L191、615、781：隔离 worktree、多用户及已交付状态。,5539,,,,,,,,,,False
14,2611,zmister2016/MrDoc,MrDoc,https://github.com/zmister2016/MrDoc,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A self-hosted document workspace with AI-assisted writing.,小团队按项目分配协作权限，集中维护文档并用 AI 辅助写作。,"knowledge, collaboration",本次核验根文档，未确认各版 AI 能力和商业授权范围。,README L38、61、68、70–72：团队文档、权限、AI 对话与写作。,3236,,,,,,,,,,False
15,641,coder/coder,Coder,https://github.com/coder/coder,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,Self-hosted development workspaces and coding-agent infrastructure with centralized identity and model controls.,平台团队统一开发环境、成员身份、AI 模型接入和费用审计，让同事委派任务时复用受控基础设施。,"coding, infrastructure, governance, self-hosted",高级团队功能含 Premium，不宣称全部开源免费；需部署数据库和运行基础设施。,README L35-44、AI Gateway/Premium 入口,16077,,,,,,,,,,False
16,2025,jupyterlab/jupyter-ai,Jupyter AI,https://github.com/jupyterlab/jupyter-ai,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,Connect AI agents and collaborative notebook workflows inside JupyterLab.,同一服务器上的成员可实时协作，向智能体传递单元格并审批文件和命令操作。,"notebooks, collaboration",仍处 JupyterLab 孵化期；代理及服务依赖另装。,完整 README L7–13、25：ACP、MCP、多人协作与权限。,4406,,,,,,,,,,False
17,3359,bionic-gpt/bionic-gpt,Bionic,https://github.com/bionic-gpt/bionic-gpt,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A self-hosted AI workspace and agent runtime with team permissions, reusable skills, and audit controls.",内部 AI 团队统一接入批准的模型、资料和工具，向成员提供带权限、使用控制和审计的工作区。,"agents, knowledge, governance, self-hosted",社区软件与付费部署支持分开；离线能力取决于采用本地模型和服务，未部署验证。,README What Bionic Provides、Security and Control、Commercial Support,2371,2026-09-21T16:15:10.971313+00:00,2371,False,2026-09-21T06:20:00Z,Apache-2.0,https://github.com/bionic-gpt/bionic-gpt/blob/main/README.md,64295c9f1c6397a06699eb70afb64d0dfde2c1c99363b09a5361f113da50f8e7,https://github.com/bionic-gpt/bionic-gpt/blob/main/LICENCE,37f6b7d766eb6791edb89211111a48e3e12ff5cb06578299019bb009fd5be44c,False
18,3988,vstorm-co/full-stack-ai-agent-template,Full-Stack AI Agent Template,https://github.com/vstorm-co/full-stack-ai-agent-template,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A project generator for AI applications with workspaces, team roles, RAG, and conversation sharing.",团队可从带组织空间、成员邀请、角色和共享会话的模板起步。,"ai-native, starter-kit, collaboration, rag",项目生成器，生产安全和各框架组合需部署验证；未实测。,README Teams & Knowledge Bases、成员角色邀请、JWT/OAuth 与会话分享。,1905,,,,,,,,,,False
19,4827,traycerai/traycer,Traycer,https://github.com/traycerai/traycer,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,"An agent-orchestration app with shared boards, real-time editing, and team collaboration.",明确允许邀请成员进入共同工作区、共享看板和任务分配。,"ai-native, collaboration, coding",Privacy Mode 团队默认开、个人可选；服务方案与 MIT 客户端边界需区分。,README Collaboration、shareable boards、co-edit 与跨设备。,1502,,,,,,,,,,False
20,4880,DEEIX-AI/DEEIX-Chat,DEEIX Chat,https://github.com/DEEIX-AI/DEEIX-Chat,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"An AI workspace combining model routing, chat, document retrieval, identity, and centralized usage administration.",管理员集中管理用户角色、模型路由、使用额度和审计记录，为成员提供统一 AI 入口。,"chat, governance, gateway, self-hosted",重型文档提取与 OCR 属可选服务；未核验所有身份供应商和计费路径，不承诺生产可靠性。,README Overview、Features L44-48、部署架构及 License,1480,,,,,,,,,,False
21,65,lobehub/lobehub,LobeHub,https://github.com/lobehub/lobehub,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,"An agent workspace that organizes shared project context, scheduled runs, and team collaboration.",README 明确 Workspace 团队共享空间，结合 Pages、项目和计划执行形成协作入口。,"ai-native, collaboration, agents, knowledge",正文采用 LobeHub Community License，徽章仍写 Apache；不能据徽章宣称全量 Apache 开源；各部署版本功能未实测。,README L155-162、L199-205、L480-487,82693,,,,,,,,,,False
22,1294,craft-ai-agents/craft-agents-oss,Craft Agents,https://github.com/craft-ai-agents/craft-agents-oss,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A desktop agent workspace for documents, integrations, and session sharing.",围绕业务文档和工具连接开展工作，并分享会话交接。,"ai-native, workspace",不是已核验的多人 RBAC；GUI 与 CLI 默认许可模式不同。,README L19、133–138、305：会话分享及权限模式。,7193,,,,,,,,,,False
23,2427,onecli/onecli,OneCLI,https://github.com/onecli/onecli,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,"An employee-agent platform with sandboxed runtimes, shared policy, approval workflows, and credential gateways.",每名员工配一个智能体，团队统一控制工具权限、共享连接和人工审批，从 Slack 或工作台使用。,"ai-native, governance, agents, self-hosted",普通代码 Apache-2.0，ee 目录生产使用需企业订阅；具体 IdP 等功能分界需按目录确认，不写全量免费。,README L42、L61-98、L119-127；LICENSE-ENTERPRISE,3495,,,,,,,,,,False
24,2581,cool-team-official/cool-admin-midway,Cool Admin Midway,https://github.com/cool-team-official/cool-admin-midway,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A backend framework with AI coding, workflow orchestration, and tenancy support.",业务开发团队复用权限后台与多租户结构，构建 AI 客服等内部流程。,"low-code, development",后台框架与前端另仓，生成及隔离效果未实测。,README L5、17–23：AI 生成、流程、租户和模块。,3273,,,,,,,,,,False
25,3234,UnicomAI/wanwu,Wanwu,https://github.com/UnicomAI/wanwu,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"An enterprise agent platform combining organizational knowledge, workflow automation, model access, and permission controls.",团队统一管理知识与模型，用低代码流程连接 OA/CRM/ERP，并支持多租户与权限控制。,"agents, workflow, knowledge, self-hosted",不采纳竞品比较和自动合规宣传；具体业务流程与权限策略需自行配置和验证。,README 核心模块、BaaS L186-189、应用场景 L216-218,2478,,,,,,,,,,False
26,4550,RinDig/icm-architect,ICM Architect,https://github.com/RinDig/icm-architect,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,A skill for structuring workflows and knowledge as inspectable file-based agent workspaces.,团队可共享阶段、契约、人工关口和状态文件，便于交接。,"ai-native, skills, knowledge-management",文件结构方法不等于强制执行引擎或成员权限。,README build/restructure、迁移审批图和 walk test。,1623,,,,,,,,,,False
27,5347,xun082/DocFlow,DocFlow,https://github.com/xun082/DocFlow,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A collaborative document editor combining real-time co-editing with AI brainstorming, rewriting, and continuation.",多人同步编辑、成员光标和历史版本，AI 帮团队起草产品规划、技术方案和会议文档。,"collaboration, documents, knowledge, self-hosted",跨文档私有知识库、自主 Agent、侧边栏群聊及音视频属于未来计划，不能写成已支持；未实测。,README 简介、核心特性、AI 聊天、协同编辑及未来计划,1318,,,,,,,,,,False
28,5473,mozilla-ai/cq,cq,https://github.com/mozilla-ai/cq,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A standard and tools for sharing structured lessons between agents.,团队可部署共享知识存储，复用经审批的经验而非反复踩坑。,"ai-native, memory, collaboration",0.x可能破坏性变更；云组织namespace仍规划，自建需负责auth/tenancy/RBAC。,README knowledge units、审批、CLI与self-host server。,1274,,,,,,,,,,False
29,142,CherryHQ/cherry-studio,Cherry Studio Enterprise,https://github.com/CherryHQ/cherry-studio,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,"A privately deployable AI workspace with centralized model access, shared knowledge bases, and employee permissions.",管理员统一分配模型和知识库权限，员工共用团队知识和配置，支持集中运维。,"chat, knowledge, governance",团队后台为商业企业版，仅部分源码向客户提供；AGPL 社区桌面版不包含这些后台能力。,README Enterprise Edition L195-224,52028,,,,,,,,,,False
30,245,gitroomhq/postiz-app,Postiz,https://github.com/gitroomhq/postiz-app,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A social publishing platform with AI-assisted content workflows, shared scheduling, and team comments.",营销成员在同一平台协作、评论和排期，结合 AI 与 API 自动化完成内容交接。,"marketing, collaboration, automation, self-hosted",具体 AI 创作能力需查功能文档，不从标题扩展；托管与自建等价仅按此次 README 声明。,README Intro L94-101,36108,,,,,,,,,,False
31,349,rohitg00/agentmemory,agentmemory,https://github.com/rohitg00/agentmemory,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"Persistent agent memory with provenance, shared and private namespaces, and team context tools.",团队按命名空间共享经验，保留来源与操作审计，通过 share/feed 等接口交接背景。,"memory, knowledge, collaboration",完整能力需要运行服务；离线 shim 只提供小型工具集，不等同完整团队平台。,README L995-1002、L1088-1091、MCP shim 说明,28647,,,,,,,,,,False
32,442,different-ai/openwork,OpenWork,https://github.com/different-ai/openwork,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,"A workspace for sharing agent workflows, skills, and connected services across people and tools.",组织发布并分配能力给团队或个人，成员从已有 AI 客户端复用同一技能与连接，减少重复配置。,"ai-native, collaboration, skills, governance",组织控制平面在 ee，生产使用受订阅及免费人数条件限制；不能把整个产品标为 MIT。,README L3-7、L27-29、OpenWork Den、Licensing,23676,,,,,,,,,,False
33,480,teableio/teable,Teable,https://github.com/teableio/teable,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,A collaborative data platform with AI workflows and app building on top of shared PostgreSQL records.,业务和研发围绕同一表格、视图、权限及自动化协作，AI 在已有业务数据上构建流程和应用。,"data, collaboration, workflow",Standalone 自建没有 AI/App Builder；官方完整镜像需付费计划解锁 AI，不能宣传社区版免费全功能。,README Four platforms、Deploy L79-84、License L163-170,21811,,,,,,,,,,False
34,572,AsyncFuncAI/deepwiki-open,DeepWiki-Open,https://github.com/AsyncFuncAI/deepwiki-open,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,"Repository analysis that produces navigable documentation, diagrams, and code-guided tours.",帮助新成员理解代码结构，让团队用可浏览的 wiki 和图解交接架构背景。,"documentation, onboarding, knowledge",独立实现，非原 DeepWiki 官方；生成内容需对照代码检查，不保证全面正确。,README L5-11、2.0 说明,18024,,,,,,,,,,False
35,577,rowboatlabs/rowboat,Rowboat,https://github.com/rowboatlabs/rowboat,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A shared workspace where teammates bring their own local agents, context, and model accounts into collaborative rooms.",Space 共用线程、文件、白板与变更历史；各成员自己的智能体处理私有背景后将产物带回团队审阅。,"ai-native, collaboration, knowledge, handoff",本地私有记忆和共享产物有边界，但不据 README 宣称技术上绝无泄漏；模型联网由配置决定。,README L37-39、Spaces L54-82、隐私边界 L127-136、自建 L277,17929,2026-09-21T16:15:03.563733+00:00,17936,False,2026-09-21T12:19:59Z,Apache-2.0,https://github.com/rowboatlabs/rowboat/blob/main/README.md,d56c5d246529c184c8497ca0495ccf40fe2bb4c7747fc57ea3f3588cebe64c48,https://github.com/rowboatlabs/rowboat/blob/main/LICENSE,75b8965997720981aa854b3bb4ae5490ae48408308408f3cc0a32abbfcb7612b,False
36,951,fossasia/visdom,Visdom,https://github.com/fossasia/visdom,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,Shared live visualizations for inspecting scientific and ML experiment results.,研究与模型开发成员将图像、曲线和文本广播到共同看板，协作分析实验和调试结果。,"experiments, visualization, collaboration",实验显示工具，不是生成式助手或完整实验权限平台。,README L23-25、持久 environments L45,10305,,,,,,,,,,False
37,1029,fastrepl/anarlog,anarlog,https://github.com/fastrepl/anarlog,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,A local-first meeting notetaker with optional on-device transcription and shareable note surfaces.,成员将会议音频转为可检查笔记，整理决策和待办后交接团队，IT 可评估自建组件。,"meetings, notes, handoff",社区本地应用 MIT，企业组件商业许可；不是 char 当前源码，未退役；是否本地处理取决于模型选择。,README L44-56、repo layout、history/license,9358,,,,,,,,,,False
38,1100,CoreBunch/Instatic,Instatic,https://github.com/CoreBunch/Instatic,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A self-hosted CMS with agent-driven visual editing, editorial states, roles, and audit records.",内容与设计成员共管页面和发布流程，AI 修改保持可编辑节点，操作记录和角色帮助交接审阅。,"content, design, workflow, self-hosted",预 1.0，API/流程仍会变化；未实测权限和审计不可改写保证。,README AI editor L108、editorial L116、roles/audit L119-128,8740,,,,,,,,,,False
39,1538,KimYx0207/AI-Coding-Guide-Zh,AI Coding Guide Zh,https://github.com/KimYx0207/AI-Coding-Guide-Zh,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,Chinese tutorials for practical AI coding and office workflows.,团队可按角色训练成员，并建立结果核验和权限协作约定。,"learning, adoption",第三方教程；仅核验课程定位，工具细节仍以各官方文档为准。,README L45–74、100、166：练习、团队规范和办公路线。,6070,,,,,,,,,,False
40,1789,54yyyu/zotero-mcp,Zotero MCP,https://github.com/54yyyu/zotero-mcp,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,"Connect research libraries to AI assistants for search, annotation, and organization.",研究团队成员可整理共同文献资料、提取批注并形成可交接引用。,"mcp, research",本次未确认 Zotero 群组库权限支持；不能直接称为团队共享后台。,README L26、32–38：语义检索、标注、导入与本地/网页模式。,5095,,,,,,,,,,False
41,1821,nibzard/awesome-agentic-patterns,Awesome Agentic Patterns,https://github.com/nibzard/awesome-agentic-patterns,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,A referenced catalog of reusable agent architecture and workflow patterns.,团队可共用交接、人工审批、共享配置与治理设计模式。,"patterns, engineering",方法目录，本次核验主题范围，未逐篇复现模式成效。,README L5、12–16、262–278：可追溯模式及团队配置。,4975,,,,,,,,,,False
42,1903,liveblocks/liveblocks,Liveblocks,https://github.com/liveblocks/liveblocks,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,SDKs and infrastructure for real-time collaborative applications.,团队产品可嵌入多人同步、评论和通知，支持人与 AI 共用应用。,"collaboration, infrastructure",SDK 仓库不代表整套托管后端开源；部分组件许可不同。,README L12–13、21–37：协作组件和 AI 定位。,4730,,,,,,,,,,False
43,2110,dataelement/Clawith,Clawith,https://github.com/dataelement/Clawith,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,An agent collaboration platform with organization-level governance.,团队按组织共享知识、管理代理工作区，并审批危险操作和查看审计。,"ai-native, teams, governance",开源 demo 是不保证稳定的预览；托管生产服务另列。,README L36、50–60：身份、记忆、多租户 RBAC 和审批。,4156,,,,,,,,,,False
44,2124,openagents-org/openagents,OpenAgents Workspace,https://github.com/openagents-org/openagents,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A shared workspace for human-agent threads, files, and browser activity.",真人同事与多个智能体共用文件、会话和浏览器，可用链接邀请队友。,"ai-native, collaboration",区别于 xlang 同名平台；headless Goose 的审批模式会转 auto，需注意运行时差异。,README L93–96、356–368：实时人机协作与邀请。,4122,2026-09-21T16:15:05.978652+00:00,4128,False,2026-09-21T11:30:52Z,Apache-2.0,https://github.com/openagents-org/openagents/blob/develop/README.md,7f9f42d976b2bc4a9e005eb090245bb8a93cdabd85446c841c29c91896d60a2c,https://github.com/openagents-org/openagents/blob/develop/LICENSE,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,False
45,2381,SkalskiP/make-sense,Make Sense,https://github.com/SkalskiP/make-sense,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,Label images in the browser with AI-assisted suggestions.,视觉团队成员准备可导出标注数据，减少手工绘框再交接训练。,"data-labeling, vision",小型项目工具，不是完整多标注员管理平台；安装栈较旧。,README L15、23–29：浏览器标注、模型建议与本地处理。,3569,,,,,,,,,,False
46,2438,vietanhdev/anylabeling,AnyLabeling,https://github.com/vietanhdev/anylabeling,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,Annotate images with model-assisted detection and segmentation.,数据团队成员用 AI 预标注加快数据准备，再人工修订和交接。,"data-labeling, vision",桌面标注工具，不宣称多人任务分配或质量审批系统。,README L4–5、35–44：标注类型、YOLO 与 SAM。,3483,,,,,,,,,,False
47,2512,melgarafael/DeskcommCRM,DeskcommCRM,https://github.com/melgarafael/DeskcommCRM,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A self-hosted WhatsApp CRM with AI agents and audited human handoffs.,销售与客服共用漏斗、角色权限、轮转分配和人机交接，按组织控制花费。,"crm, teams, ai-native",葡语原文转述；隔离、合规与防封号宣称未实测，两种 WhatsApp 接入不同。,README L255–269：CRM、RAG、人工关口、RBAC/RLS。,3377,,,,,,,,,,False
48,2711,yilewang/llm-for-zotero,LLM for Zotero,https://github.com/yilewang/llm-for-zotero,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,Research papers with AI inside Zotero and retain cited notes.,研究团队成员比较论文、记录来源和导出笔记，便于复核与交接。,"research, knowledge",共享库权限未核验；外接 MCP 助手负责审批，插件不再二次确认文件命令。,README L17–21、58–63、873–876：读者插件、引用和工具边界。,3090,,,,,,,,,,False
49,2736,sopaco/deepwiki-rs,Litho,https://github.com/sopaco/deepwiki-rs,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,Generate C4 architecture documentation from source code.,研发团队用生成文档辅助架构评审、新成员入职和知识交接。,"documentation, engineering",持续知识同步及更广代理集成主要在 Terrain，不能把后继全部能力归此工具。,README L32–51、100–110：C4 文档与 Terrain 分工。,3062,,,,,,,,,,False
50,3190,felinics/Memoh,Memoh,https://github.com/felinics/Memoh,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"Give agents persistent workspaces, tools, and messaging access.",团队可为成员分配代理环境，共用部署并跨渠道接续任务。,"ai-native, teams",多用户范围和隔离未实测；云计算与 AGPL 软件许可分开。,README L31–35、45、90：独立工作区、多用户与自建。,2518,,,,,,,,,,False
51,3324,spacedriveapp/spacebot,Spacebot,https://github.com/spacedriveapp/spacebot,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,"Run shared agent conversations, memory, and approved tasks across team channels.",团队在 Slack/Discord 等并发协作，共享上下文并通过持久审批监督后台任务。,"ai-native, teams",FSL 两年后转 Apache，当前非宽松开源；跨渠道记忆与权限隔离未实测。,README L45、61–71、140–144、218、434：真人并发、审批和许可。,2399,,,,,,,,,,False
52,3352,penecho/penecho,PenEcho,https://github.com/penecho/penecho,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,A spatial canvas for working with AI and editable artifacts.,团队成员可将讨论和结构化图稿保留为可检查产物，辅助设计交接。,"design, ai-native",未核验多人实时协作；AGPL，另有商业许可。,README L20–21、53 起：空间画布、内置代理与 MCP。,2375,,,,,,,,,,False
